fighter,5D,Ref,event_odds_url,event_ufcstats_url,event_id,event_name
Cheick Kongo,150.0,,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189,http://www.ufcstats.com/event-details/821cd80aab70d5f9,ufc-107-penn-vs-sanchez-189,UFC 107: Penn vs Sanchez
Frank Mir,-160.0,,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189,http://www.ufcstats.com/event-details/821cd80aab70d5f9,ufc-107-penn-vs-sanchez-189,UFC 107: Penn vs Sanchez
Stefan Struve,-145.0,,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189,http://www.ufcstats.com/event-details/821cd80aab70d5f9,ufc-107-penn-vs-sanchez-189,UFC 107: Penn vs Sanchez
Jon Fitch,-500.0,,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189,http://www.ufcstats.com/event-details/821cd80aab70d5f9,ufc-107-penn-vs-sanchez-189,UFC 107: Penn vs Sanchez
Matt Wiman,-360.0,,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189,http://www.ufcstats.com/event-details/821cd80aab70d5f9,ufc-107-penn-vs-sanchez-189,UFC 107: Penn vs Sanchez
Rousimar Palhares,-360.0,,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189,http://www.ufcstats.com/event-details/821cd80aab70d5f9,ufc-107-penn-vs-sanchez-189,UFC 107: Penn vs Sanchez
Rashad Evans,-180.0,,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219,http://www.ufcstats.com/event-details/bfc2fc38a0e20211,ufc-108-evans-vs-silva-219,UFC 114: Rampage vs Evans
Thiago Silva,168.0,,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219,http://www.ufcstats.com/event-details/bfc2fc38a0e20211,ufc-108-evans-vs-silva-219,UFC 114: Rampage vs Evans
Joe Lauzon,-290.0,,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219,http://www.ufcstats.com/event-details/bfc2fc38a0e20211,ufc-108-evans-vs-silva-219,UFC 114: Rampage vs Evans
Jim Miller,-470.0,,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219,http://www.ufcstats.com/event-details/bfc2fc38a0e20211,ufc-108-evans-vs-silva-219,UFC 114: Rampage vs Evans
Frank Mir,-150.0,,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236,http://www.ufcstats.com/event-details/c80095f6092271a7,ufc-111-st-pierre-vs-hardy-236,UFC 111: St-Pierre vs Hardy
Matt Brown,160.0,,https://www.bestfightodds.com/events/ufc-111-st-pierre-vs-hardy-236,http://www.ufcstats.com/event-details/c80095f6092271a7,ufc-111-st-pierre-vs-hardy-236,UFC 111: St-Pierre vs Hardy
