,0,odds_search,fighter_odds_url
60,Nicolae Negumereanu,https://www.bestfightodds.com/search?query=Nicolae Negumereanu,/fighters/Nicolae-Negumereanu-11139
61,Brandon Moreno,https://www.bestfightodds.com/search?query=Brandon Moreno,/fighters/Brandon-Moreno-6681
62,Julianna Pena,https://www.bestfightodds.com/search?query=Julianna Pena,/fighters/Julianna-Pena-1816
63,Don'Tale Mayes,https://www.bestfightodds.com/search?query=Don'Tale Mayes,
64,Orion Cosce,https://www.bestfightodds.com/search?query=Orion Cosce,/fighters/Orion-Cosce-10253
65,Derrick Lewis,https://www.bestfightodds.com/search?query=Derrick Lewis,/fighters/Derrick-Lewis-2610
66,Alexandre Pantoja,https://www.bestfightodds.com/search?query=Alexandre Pantoja,/fighters/Alexandre-Pantoja-5118
67,Drakkar Klose,https://www.bestfightodds.com/search?query=Drakkar Klose,
68,Michael Morales,https://www.bestfightodds.com/search?query=Michael Morales,/fighters/Michael-Morales-12495
69,Joselyne Edwards,https://www.bestfightodds.com/search?query=Joselyne Edwards,/fighters/Joselyne-Edwards-8664
70,Magomed Ankalaev,https://www.bestfightodds.com/search?query=Magomed Ankalaev,/fighters/Magomed-Ankalaev-7794
71,Alex Morono,https://www.bestfightodds.com/search?query=Alex Morono,/fighters/Alex-Morono-2727
72,Drew Dober,https://www.bestfightodds.com/search?query=Drew Dober,/fighters/Drew-Dober-1576
73,Mason Jones,https://www.bestfightodds.com/search?query=Mason Jones,/fighters/Mason-Jones-7156
74,Nathaniel Wood,https://www.bestfightodds.com/search?query=Nathaniel Wood,/fighters/Nathaniel-Wood-5309
75,Paul Craig,https://www.bestfightodds.com/search?query=Paul Craig,/fighters/Paul-Craig-6791
76,Molly McCann,https://www.bestfightodds.com/search?query=Molly McCann,/fighters/Molly-McCann-5311
77,Jack Hermansson,https://www.bestfightodds.com/search?query=Jack Hermansson,/fighters/Jack-Hermansson-2474
78,Claudio Silva,https://www.bestfightodds.com/search?query=Claudio Silva,/fighters/Claudio-Silva-8585
79,Curtis Blaydes,https://www.bestfightodds.com/search?query=Curtis Blaydes,/fighters/Curtis-Blaydes-5732
80,Nikita Krylov,https://www.bestfightodds.com/search?query=Nikita Krylov,/fighters/Nikita-Krylov-4188
81,Makwan Amirkhani,https://www.bestfightodds.com/search?query=Makwan Amirkhani,
82,Muhammad Mokaev,https://www.bestfightodds.com/search?query=Muhammad Mokaev,/fighters/Muhammad-Mokaev-10995
83,Jai Herbert,https://www.bestfightodds.com/search?query=Jai Herbert,/fighters/Jai-Herbert-6873
84,Mandy Bohm,https://www.bestfightodds.com/search?query=Mandy Bohm,/fighters/Mandy-Bohm-9979
85,Marc Diakiese,https://www.bestfightodds.com/search?query=Marc Diakiese,/fighters/Marc-Diakiese-6662
86,Paddy Pimblett,https://www.bestfightodds.com/search?query=Paddy Pimblett,/fighters/Paddy-Pimblett-4242
87,Lauren Murphy,https://www.bestfightodds.com/search?query=Lauren Murphy,/fighters/Lauren-Murphy-4580
88,Bill Algeo,https://www.bestfightodds.com/search?query=Bill Algeo,/fighters/Bill-Algeo-9171
89,Matt Schnell,https://www.bestfightodds.com/search?query=Matt Schnell,/fighters/Matt-Schnell-3492
90,Michelle Waterson-Gomez,https://www.bestfightodds.com/search?query=Michelle Waterson-Gomez,/fighters/Michelle-Waterson-3944
91,Ricky Simon,https://www.bestfightodds.com/search?query=Ricky Simon,/fighters/Ricky-Simon-5780
92,Shane Burgos,https://www.bestfightodds.com/search?query=Shane Burgos,/fighters/Shane-Burgos-6850
93,Jessica Penne,https://www.bestfightodds.com/search?query=Jessica Penne,/fighters/Jessica-Penne-3305
94,Dustin Jacoby,https://www.bestfightodds.com/search?query=Dustin Jacoby,/fighters/Dustin-Jacoby-2939
95,Dwight Grant,https://www.bestfightodds.com/search?query=Dwight Grant,/fighters/Dwight-Grant-6763
96,Punahele Soriano,https://www.bestfightodds.com/search?query=Punahele Soriano,/fighters/Punahele-Soriano-7386
97,Brian Ortega,https://www.bestfightodds.com/search?query=Brian Ortega,/fighters/Brian-Ortega-4290
98,Kennedy Nzechukwu,https://www.bestfightodds.com/search?query=Kennedy Nzechukwu,/fighters/Kennedy-Nzechukwu-7454
99,Caio Borralho,https://www.bestfightodds.com/search?query=Caio Borralho,/fighters/Caio-Borralho-12570
100,David Onama,https://www.bestfightodds.com/search?query=David Onama,/fighters/David-Onama-10808
101,Douglas Silva,https://www.bestfightodds.com/search?query=Douglas Silva,/fighters/Douglas-Silva-de-Andrade-6730
102,Michael Johnson,https://www.bestfightodds.com/search?query=Michael Johnson,/fighters/Michael-Johnson-2219
103,Jared Vanderaa,https://www.bestfightodds.com/search?query=Jared Vanderaa,/fighters/Jared-Vanderaa-7266
104,Cody Brundage,https://www.bestfightodds.com/search?query=Cody Brundage,/fighters/Cody-Brundage-10168
105,Rafael Dos,https://www.bestfightodds.com/search?query=Rafael Dos,/fighters/Rafael-Del-Rio-1094
106,Aiemann Zahabi,https://www.bestfightodds.com/search?query=Aiemann Zahabi,
107,Ronnie Lawrence,https://www.bestfightodds.com/search?query=Ronnie Lawrence,/fighters/Ronnie-Lawrence-6683
108,Antonina Shevchenko,https://www.bestfightodds.com/search?query=Antonina Shevchenko,/fighters/Antonina-Shevchenko-8257
109,Pedro Munhoz,https://www.bestfightodds.com/search?query=Pedro Munhoz,/fighters/Pedro-Munhoz-3750
110,Jessica-Rose Clark,https://www.bestfightodds.com/search?query=Jessica-Rose Clark,/fighters/Jessica-Rose-Clark-5707
111,Brad Tavares,https://www.bestfightodds.com/search?query=Brad Tavares,/fighters/Brad-Tavares-1959
112,Ian Garry,https://www.bestfightodds.com/search?query=Ian Garry,/fighters/Ian-Garry-8934
113,Israel Adesanya,https://www.bestfightodds.com/search?query=Israel Adesanya,/fighters/Israel-Adesanya-7845
114,Uriah Hall,https://www.bestfightodds.com/search?query=Uriah Hall,/fighters/Uriah-Hall-4184
115,Robbie Lawler,https://www.bestfightodds.com/search?query=Robbie Lawler,/fighters/Robbie-Lawler-227
116,Alexander Volkanovski,https://www.bestfightodds.com/search?query=Alexander Volkanovski,/fighters/Alexander-Volkanovski-9523
117,Jim Miller,https://www.bestfightodds.com/search?query=Jim Miller,/fighters/Bj-Miller-13905
118,Jessica Eye,https://www.bestfightodds.com/search?query=Jessica Eye,/fighters/Jessica-Eye-2817
119,Brad Riddell,https://www.bestfightodds.com/search?query=Brad Riddell,/fighters/Brad-Riddell-9517
120,Sean Strickland,https://www.bestfightodds.com/search?query=Sean Strickland,/fighters/Sean-Strickland-4733
121,Carlos Ulberg,https://www.bestfightodds.com/search?query=Carlos Ulberg,/fighters/Carlos-Ulberg-10404
122,Nate Maness,https://www.bestfightodds.com/search?query=Nate Maness,/fighters/Nate-Maness-10489
123,Brian Kelleher,https://www.bestfightodds.com/search?query=Brian Kelleher,/fighters/Brian-Kelleher-2978
124,Josh Parisian,https://www.bestfightodds.com/search?query=Josh Parisian,/fighters/Josh-Parisian-8374
125,Chris Curtis,https://www.bestfightodds.com/search?query=Chris Curtis,/fighters/Chris-Curtis-6020
126,Thiago Moises,https://www.bestfightodds.com/search?query=Thiago Moises,/fighters/Thiago-Moises-6149
127,Raulian Paiva,https://www.bestfightodds.com/search?query=Raulian Paiva,/fighters/Raulian-Paiva-8553
128,Shayilan Nuerdanbieke,https://www.bestfightodds.com/search?query=Shayilan Nuerdanbieke,/fighters/Nuerdanbieke-Shayilan-12818
129,Neil Magny,https://www.bestfightodds.com/search?query=Neil Magny,/fighters/Neil-Magny-3807
130,JP Buys,https://www.bestfightodds.com/search?query=JP Buys,/fighters/J-P-Buys-7455
131,Arman Tsarukyan,https://www.bestfightodds.com/search?query=Arman Tsarukyan,/fighters/Arman-Tsarukyan-9034
132,Vanessa Demopoulos,https://www.bestfightodds.com/search?query=Vanessa Demopoulos,/fighters/Vanessa-Demopoulos-8998
