,Unnamed: 0,Fighter_Name,SigStrike_Standing,SigStrike_Standing_Percent,SigStrike_Clinch,SigStrike_Clinch_Percent,SigStrike_Ground,SigStrike_Ground_Percent,Fighting_Style,Height,Weight,Octagon_Debut,Reach,Leg_Reach,Trains_At
159,0,Ariane Lipski,220.0,81,29.0,11.0,23.0,8.0,Striker,66.0,135.5,"Jan. 19, 2019",67.0,38.5,
160,0,Ariel Beck,34.0,97%,1.0,3.0,0.0,0.0,,66.5,125.5,"Dec. 01, 2017",66.0,38.0,
161,0,Arjan Bhullar,,,,,,,,,,,,,
162,0,Arman Tsarukyan,241.0,68,26.0,7.0,87.0,25.0,Kickboxer,67.0,156.0,"Apr. 20, 2019",72.5,39.5,
163,0,Armen Petrosyan,158.0,89,2.0,1.0,18.0,10.0,,75.0,185.5,"Feb. 26, 2022",71.0,42.0,
164,0,Arnold Allen,339.0,88,18.0,5.0,30.0,8.0,MMA,68.0,146.0,"Jun. 20, 2015",70.0,39.0,
165,0,Artem Lobov,382.0,94,17.0,4.0,6.0,1.0,,69.0,145.5,"Dec. 11, 2015",65.0,38.0,
166,0,Asbel Cancio,,,,,,,,0.0,0.0,,,,
167,0,Ashkan Mokhtarian,51.0,94%,1.0,2.0,2.0,4.0,,66.0,125.0,"Jun. 11, 2017",67.0,38.0,
168,0,Ashley Yoder,330.0,71,39.0,8.0,93.0,20.0,Jiu-Jitsu,67.0,116.0,"Dec. 10, 2016",69.5,37.0,
169,0,Askar Askarov,174.0,76,24.0,10.0,31.0,14.0,,66.0,143.2,"Sep. 21, 2019",67.0,36.0,
170,0,Askar Mozharov,2.0,100%,0.0,0.0,0.0,0.0,,75.0,204.5,"Jun. 04, 2022",74.0,41.0,
171,0,Aspen Ladd,136.0,47,52.0,18.0,102.0,3.0,MMA,66.0,136.0,"Oct. 21, 2017",66.0,38.5,
172,0,Assuerio Silva,49.0,84%,6.0,10.0,3.0,5.0,,73.0,241.0,,,,
173,0,Augusto Mendes,64.0,77%,17.0,20.0,2.0,2.0,,66.0,135.0,"Feb. 22, 2016",65.0,36.0,
174,0,Augusto Montano,85.0,72%,29.0,25.0,4.0,3.0,,73.0,170.5,"Nov. 15, 2014",73.0,43.0,
175,0,Augusto Sakai,340.0,61,158.0,2.0,59.0,11.0,MMA,75.0,260.0,"Sep. 23, 2018",77.0,42.0,
176,0,Austin Arnett,266.0,86,27.0,9.0,18.0,6.0,,72.0,145.0,"Aug. 01, 2017",72.0,41.0,
177,0,Austin Hubbard,279.0,86,18.0,6.0,29.0,9.0,,70.0,156.0,"May. 18, 2019",71.0,40.0,
178,0,Austin Lingo,177.0,98,3.0,2.0,0.0,0.0,Boxing,70.0,145.5,"Feb. 08, 2020",70.0,39.0,
179,0,Austin Springer,31.0,49%,7.0,11.0,25.0,40.0,,68.0,151.0,"Sep. 22, 2022",71.5,38.0,
180,0,Azamat Gashimov,7.0,64%,0.0,0.0,4.0,36.0,,66.0,126.0,,,,
181,0,Azamat Murzakanov,57.0,49%,11.0,9.0,48.0,41.0,,70.0,204.0,"Nov. 20, 2021",71.5,41.0,
182,0,Barb Honchak,95.0,100,0.0,0.0,0.0,0.0,,64.0,125.5,"Sep. 22, 2022",65.5,37.0,
183,0,Bart Palaszewski,245.0,79,55.0,18.0,10.0,3.0,,69.0,145.0,,,,
184,0,Bartosz Fabinski,30.0,27%,50.0,44.0,33.0,29.0,Judo,72.0,184.5,"Apr. 11, 2015",75.0,41.0,
185,0,Bas Rutten,,,,,,,,0.0,0.0,,,,
186,0,Batgerel Danaa,230.0,85,11.0,4.0,29.0,11.0,Brazilian Jiu-Jitsu,67.0,135.0,"Aug. 31, 2019",70.0,36.5,
187,0,Bea Malecki,160.0,87,11.0,6.0,13.0,7.0,MMA,69.0,135.0,"Jun. 01, 2019",74.0,40.0,
188,0,Bec Rawlings,293.0,78,65.0,17.0,20.0,5.0,,66.0,125.8,"Dec. 12, 2014",64.0,38.0,
189,0,Belal Muhammad,797.0,83,53.0,6.0,111.0,1.0,,71.0,170.5,"Jul. 07, 2016",72.0,40.0,
190,0,Ben Askren,46.0,73%,11.0,17.0,6.0,10.0,,71.0,171.0,"Mar. 02, 2019",72.0,38.0,
191,0,Ben Earwood,1.0,20%,0.0,0.0,4.0,80.0,,0.0,169.0,,,,
192,0,Ben Nguyen,164.0,78,31.0,15.0,15.0,7.0,,65.0,125.5,"May. 09, 2015",65.0,39.0,
193,0,Ben Rothwell,617.0,76,122.0,1.0,78.0,10.0,MMA,76.0,265.0,"Oct. 24, 2009",78.5,43.0,
194,0,Ben Saunders,285.0,59,160.0,3.0,41.0,8.0,,74.0,170.0,"Dec. 09, 2007",77.5,45.0,
195,0,Ben Sosoli,38.0,88%,5.0,12.0,0.0,0.0,,72.0,264.0,"Oct. 18, 2019",72.5,40.0,
196,0,Ben Wall,2.0,40%,3.0,60.0,0.0,0.0,,70.0,155.0,"Dec. 07, 2013",73.0,,
197,0,Beneil Dariush,449.0,64,121.0,1.0,131.0,1.0,MMA,70.0,156.0,"Jan. 15, 2014",72.0,40.5,
198,0,Benito Lopez,181.0,84,33.0,15.0,2.0,1.0,,70.0,136.0,"Aug. 22, 2017",73.0,41.0,
199,0,Benji Radach,8.0,19%,5.0,12.0,30.0,70.0,,72.0,169.0,,,,
200,0,Benson Henderson,562.0,59,200.0,2.0,190.0,2.0,,69.0,170.0,"Apr. 30, 2011",70.0,38.0,
201,0,Bentley Syler,14.0,93%,1.0,7.0,0.0,0.0,,64.0,126.0,,,,
202,0,Bernardo Magalhaes,54.0,100,0.0,0.0,0.0,0.0,,69.0,155.0,,,,
203,0,Besam Yousef,24.0,34%,45.0,63.0,2.0,3.0,,71.0,168.0,,,,
