,Unnamed: 0,Fighter_A,Fighter_B,A_Kd,B_Kd,A_Sig_strike_land,A_Sig_strike_att,B_Sig_strike_land,B_Sig_strike_att,A_Sig_strike_percent,B_Sig_strike_percent,A_Total_Strikes,B_Total_Strikes,A_Total_Strikes_land,A_Total_Strikes_att,B_Total_Strikes_land,B_Total_Strikes_att,A_Total_Strikes_percent,B_Total_Strikes_percent,A_Takedowns_land,A_Takedowns_att,B_Takedowns_land,B_Takedowns_att,A_Takedown_percent,B_Takedown_percent,A_Sub_Attempts_land,A_Sub_Attempts_att,B_Sub_Attempts_land,B_Sub_Attempts_att,A_Rev,B_Rev,A_Ctrl_time_min,A_Ctrl_time_sec,B_Ctrl_time_min,B_Ctrl_time_sec,A_Ctrl_time_tot,B_Ctrl_time_tot,details,event_title,event_url,date,Winner
2233,0,Robert Whiteford,Lucas Martins,0,0,45,99,30,87,0.45,0.34,90 of 158,31 of 88,90,158,31,88,0.569620253164557,0.3522727272727273,1,4,0,0,0.25,,0,,0,,0,0,1,36.0,0,0.0,96.0,0.0,Jadranko Cacic                                     28 - 29.          Ben Cartlidge                                     29 - 28.          Andreas Gruner                                     27 - 30.,UFC Fight Night: Rothwell vs Dos Santos,http://www.ufcstats.com/event-details/4887e5bc4dbb73ff,"April 10, 2016",Lucas Martins
2234,0,Alonzo Menifield,William Knight,0,1,44,77,55,111,0.57,0.49,66 of 99,82 of 139,66,99,82,139,0.6666666666666666,0.5899280575539568,0,2,1,4,0.0,0.25,0,,0,,1,1,6,25.0,0,43.0,385.0,43.0,Derek Cleary                                     28 - 29.          Junichiro Kamijo                                     28 - 29.          Tony Weeks                                     28 - 29.,UFC Fight Night: Font vs. Aldo,http://www.ufcstats.com/event-details/509697e08673d2e5,"December 04, 2021",William Knight
2235,0,Brandon Vera,Andre Mussi,1,0,9,14,0,3,0.64,0.0,9 of 14,0 of 3,9,14,0,3,0.6428571428571429,0.0,0,0,0,1,,0.0,0,,0,,0,0,0,,0,,,,Punch to Head On Ground,WEC 13: Heavyweight Explosion,http://www.ufcstats.com/event-details/275cafc9de131c83,"January 22, 2005",Brandon Vera
2236,0,Kazuhiro Nakamura,Murilo Bustamante,0,0,28,87,15,46,0.32,0.32,62 of 141,81 of 120,62,141,81,120,0.4397163120567376,0.675,4,10,2,9,0.4,0.2222222222222222,0,,1,,0,0,0,,0,,,,,PRIDE Final Conflict 2004,http://www.ufcstats.com/event-details/0f6528b461e47462,"August 15, 2004",Kazuhiro Nakamura
2237,0,Lyoto Machida,Yoel Romero,0,0,31,64,42,70,0.48,0.6,31 of 64,44 of 72,31,64,44,72,0.484375,0.6111111111111112,0,0,1,2,,0.5,0,,0,,0,0,0,0.0,0,5.0,0.0,5.0,Elbows to Head From Half Guard,UFC Fight Night: Machida vs Romero,http://www.ufcstats.com/event-details/86e388ed20761ad9,"June 27, 2015",Yoel Romero
2238,0,Edson Barboza,Anthony Njokuani,0,0,46,151,72,188,0.3,0.38,48 of 153,78 of 194,48,153,78,194,0.3137254901960784,0.4020618556701031,2,2,1,1,1.0,1.0,0,,0,,0,0,0,45.0,0,28.0,45.0,28.0,Jon Bilyk                                     28 - 29.          Dave Tirelli                                     28 - 29.          Vincent Sinclair                                     28 - 29.,UFC 128: Shogun vs Jones,http://www.ufcstats.com/event-details/1411c630ba711b64,"March 19, 2011",Edson Barboza
2239,0,Edwin Figueroa,Francisco Rivera,1,1,24,97,51,127,0.24,0.4,36 of 109,54 of 131,36,109,54,131,0.3302752293577982,0.4122137404580153,1,1,2,2,1.0,1.0,0,,0,,0,0,2,8.0,1,7.0,128.0,67.0,Punches to Head At Distance,UFC 156: Aldo vs Edgar,http://www.ufcstats.com/event-details/601cf40c09090853,"February 02, 2013",Francisco Rivera
2240,0,Colleen Schneider,Liz Carmouche,0,0,13,27,15,30,0.48,0.5,32 of 51,61 of 81,32,51,61,81,0.6274509803921569,0.7530864197530864,1,2,2,5,0.5,0.4,0,,0,,0,0,0,,0,,,,18 - 20.                                                18 - 20.                                                18 - 20.,Strikeforce Challengers 10,http://www.ufcstats.com/event-details/cbe79765d44bd172,"August 13, 2010",Liz Carmouche
2241,0,Journey Newson,Randy Costa,0,1,1,5,4,6,0.2,0.66,1 of 5,4 of 6,1,5,4,6,0.2,0.6666666666666666,0,0,0,0,,,0,,0,,0,0,0,0.0,0,2.0,0.0,2.0,Kick to Head At Distance,UFC Fight Night: Covington vs. Woodley,http://www.ufcstats.com/event-details/831b937811804dad,"September 19, 2020",Randy Costa
2242,0,Justin Lawrence,Max Holloway,0,1,32,90,29,124,0.35,0.23,32 of 92,29 of 124,32,92,29,124,0.3478260869565217,0.2338709677419354,1,4,0,0,0.25,,0,,0,,0,0,0,9.0,0,5.0,9.0,5.0,Punch to Body In Clinch,UFC 150: Henderson vs Edgar II,http://www.ufcstats.com/event-details/3c48019bc387b80c,"August 11, 2012",Max Holloway
