,Unnamed: 0,Fighter_A,Fighter_B,A_Head_Strikes_land,A_Head_Strikes_att,B_Head_Strikes_land,B_Head_Strikes_att,A_Head_Strikes_percent,B_Head_Strikes_percent,A_Body_Strikes_land,A_Body_Strikes_att,B_Body_Strikes_land,B_Body_Strikes_att,A_Body_Strikes_percent,B_Body_Strikes_percent,A_Leg_Strikes_land,A_Leg_Strikes_att,B_Leg_Strikes_land,B_Leg_Strikes_att,A_Leg_Strikes_percent,B_Leg_Strikes_percent,A_Distance_Strikes_land,A_Distance_Strikes_att,B_Distance_Strikes_land,B_Distance_Strikes_att,A_Distance_Strikes_percent,B_Distance_Strikes_percent,A_Clinch_Strikes_land,A_Clinch_Strikes_att,B_Clinch_Strikes_land,B_Clinch_Strikes_att,A_Clinch_Strikes_percent,B_Clinch_Strikes_percent,A_Ground_Strikes_land,A_Ground_Strikes_att,B_Ground_Strikes_land,B_Ground_Strikes_att,A_Ground_Strikes_percent,B_Ground_Strikes_percent,details,event_title,event_url
0,0,Holly Holm,Irene Aldana,81,214,38,128,0.3785046728971962,0.296875,56,68,12,30,0.8235294117647058,0.4,17,19,19,27,0.8947368421052632,0.7037037037037037,140,272,65,181,0.5147058823529411,0.3591160220994475,1,1,4,4,1.0,1.0,13,28,0,0,0.4642857142857143,,Mike Bell                                     44 - 50.          Dave Tirelli                                     45 - 50.          Clemens Werner                                     45 - 50.,UFC Fight Night: Holm vs. Aldana,http://www.ufcstats.com/event-details/805ad1801eb26abb
1,0,Joshua Burkman,Josh Neer,22,72,17,36,0.3055555555555556,0.4722222222222222,9,12,1,2,0.75,0.5,4,4,1,1,1.0,1.0,14,50,7,21,0.28,0.3333333333333333,16,28,5,9,0.5714285714285714,0.5555555555555556,5,10,7,9,0.5,0.7777777777777778,Abe Belardo                                     28 - 29.          Chris Lee                                     27 - 30.          Tony Weeks                                     28 - 29.,UFC 61: Bitter Rivals,http://www.ufcstats.com/event-details/f70144caea5c4c80
2,0,Paddy Pimblett,Kazula Vargas,1,4,5,7,0.25,0.7142857142857143,0,0,2,2,,1.0,2,2,0,0,1.0,,2,4,2,4,0.5,0.5,0,1,2,2,0.0,1.0,1,1,3,3,1.0,1.0,Rear Naked Choke,UFC Fight Night: Volkov vs. Aspinall,http://www.ufcstats.com/event-details/1d00756835ca67c9
3,0,Greg Hardy,Ben Sosoli,22,72,15,78,0.3055555555555556,0.1923076923076923,5,5,10,18,1.0,0.5555555555555556,27,28,1,1,0.9642857142857144,1.0,52,103,26,96,0.5048543689320388,0.2708333333333333,2,2,0,1,1.0,0.0,0,0,0,0,,,Illegal Inhaler Use by Hardy                Lars Borssen                                     28 - 29.          Sal D'amato                                     28 - 29.          Macel Varella                                     28 - 29.,UFC Fight Night: Reyes vs. Weidman,http://www.ufcstats.com/event-details/3ae10ac4df3df05c
4,0,Jared Rosholt,Josh Copeland,19,41,7,34,0.4634146341463415,0.2058823529411764,3,4,2,2,0.75,1.0,0,0,0,0,,,9,24,6,28,0.375,0.2142857142857142,3,4,3,8,0.75,0.375,10,17,0,0,0.5882352941176471,,Punches to Head From Side Control,UFC 185: Pettis vs Dos Anjos,http://www.ufcstats.com/event-details/f54200f1dfb9b5d4
5,0,Alistair Overeem,Stefan Struve,12,18,0,3,0.6666666666666666,0.0,5,6,2,2,0.8333333333333334,1.0,0,1,0,0,0.0,,0,2,2,4,0.0,0.5,3,3,0,1,1.0,0.0,14,20,0,0,0.7,,Punch to Head On Ground,UFC on FOX: Dos Santos vs Miocic,http://www.ufcstats.com/event-details/d4a12dfa4067742f
6,0,Tony Ferguson,Katsunori Kikuno,35,63,17,37,0.5555555555555556,0.4594594594594595,1,2,4,5,0.5,0.8,2,2,1,2,1.0,0.5,37,66,22,44,0.5606060606060606,0.5,1,1,0,0,1.0,,0,0,0,0,,,Punch to Head At Distance,UFC 173: Barao vs Dillashaw,http://www.ufcstats.com/event-details/9ca265dfe8323db3
7,0,Rich Franklin,David Loiseau,82,190,11,57,0.431578947368421,0.1929824561403508,42,51,10,15,0.8235294117647058,0.6666666666666666,3,3,0,0,1.0,,74,172,17,63,0.4302325581395348,0.2698412698412698,32,46,4,9,0.6956521739130435,0.4444444444444444,21,26,0,0,0.8076923076923077,,Nelson Hamilton                                     43 - 50.          Jeff Mullen                                     42 - 50.          Dalby Shirley                                     42 - 50.,UFC 58: USA vs Canada,http://www.ufcstats.com/event-details/0e9869d712e81f8f
8,0,Carlos Condit,Rory MacDonald,43,124,22,60,0.3467741935483871,0.3666666666666666,10,22,4,7,0.4545454545454545,0.5714285714285714,19,24,3,3,0.7916666666666666,1.0,32,101,20,53,0.3168316831683168,0.3773584905660377,11,24,7,11,0.4583333333333333,0.6363636363636364,29,45,2,6,0.6444444444444445,0.3333333333333333,Punches to Head From Half Guard,UFC 115: Liddell vs Franklin,http://www.ufcstats.com/event-details/cfb65863d5099327
9,0,Caio Borralho,Jesse Murray,13,19,0,4,0.6842105263157895,0.0,0,2,4,7,0.0,0.5714285714285714,0,2,0,3,0.0,0.0,5,11,4,14,0.4545454545454545,0.2857142857142857,0,0,0,0,,,8,12,0,0,0.6666666666666666,,Punch to Head At Distance,DWCS 5.8,http://www.ufcstats.com/event-details/b4eeac608fc82f88
