,Unnamed: 0,fighter1,fighter2,weightclass,fighter1_odds,fighter2_odds,event_url,full_event_url,method,event
0,0,Kenny Florian,Sam Stout,Lightweight Bout,,,The-Ultimate-Fighter-3-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-3-Finale,Submission,The-Ultimate-Fighter-3-Finale
1,1,Michael Bisping,Josh Haynes,Light Heavyweight Bout,,,The-Ultimate-Fighter-3-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-3-Finale,KO/TKO,The-Ultimate-Fighter-3-Finale
2,2,Kendall Grove,Ed Herman,Middleweight Bout,,,The-Ultimate-Fighter-3-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-3-Finale,Decision - Unanimous,The-Ultimate-Fighter-3-Finale
3,3,Keith Jardine,Wilson Gouveia,Light Heavyweight Bout,,,The-Ultimate-Fighter-3-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-3-Finale,Decision - Unanimous,The-Ultimate-Fighter-3-Finale
4,4,Rory Singer,Ross Pointon,Middleweight Bout,,,The-Ultimate-Fighter-3-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-3-Finale,Submission,The-Ultimate-Fighter-3-Finale
5,5,Kalib Starnes,Danny Abbadi,Middleweight Bout,,,The-Ultimate-Fighter-3-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-3-Finale,Submission,The-Ultimate-Fighter-3-Finale
6,6,Luigi Fioravanti,Solomon Hutcherson,Middleweight Bout,,,The-Ultimate-Fighter-3-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-3-Finale,KO/TKO,The-Ultimate-Fighter-3-Finale
7,7,Matt Hamill,Jesse Forbes,Light Heavyweight Bout,,,The-Ultimate-Fighter-3-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-3-Finale,KO/TKO,The-Ultimate-Fighter-3-Finale
8,8,Mike Nickels,Wes Combs,Light Heavyweight Bout,,,The-Ultimate-Fighter-3-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-3-Finale,Submission,The-Ultimate-Fighter-3-Finale
0,0,Matt Serra,Chris Lytle,Welterweight Bout,,,The-Ultimate-Fighter-4-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-4-Finale,Decision - Split,The-Ultimate-Fighter-4-Finale
1,1,Travis Lutter,Patrick Cote,Middleweight Bout,,,The-Ultimate-Fighter-4-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-4-Finale,Submission,The-Ultimate-Fighter-4-Finale
2,2,Din Thomas,Rich Clementi,Lightweight Bout,,,The-Ultimate-Fighter-4-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-4-Finale,Submission,The-Ultimate-Fighter-4-Finale
3,3,Jorge Rivera,Edwin Dewees,Middleweight Bout,,,The-Ultimate-Fighter-4-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-4-Finale,KO/TKO,The-Ultimate-Fighter-4-Finale
4,4,Pete Spratt,Jeremy Jackson,Welterweight Bout,,,The-Ultimate-Fighter-4-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-4-Finale,Submission,The-Ultimate-Fighter-4-Finale
5,5,Scott Smith,Pete Sell,Middleweight Bout,,,The-Ultimate-Fighter-4-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-4-Finale,KO/TKO,The-Ultimate-Fighter-4-Finale
6,6,Charles McCarthy,Gideon Ray,Middleweight Bout,,,The-Ultimate-Fighter-4-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-4-Finale,Submission,The-Ultimate-Fighter-4-Finale
7,7,Martin Kampmann,Thales Leites,Middleweight Bout,,,The-Ultimate-Fighter-4-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-4-Finale,Decision - Unanimous,The-Ultimate-Fighter-4-Finale
0,0,BJ Penn,Jens Pulver,Lightweight Bout,,,The-Ultimate-Fighter-5-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-5-Finale,Submission,The-Ultimate-Fighter-5-Finale
1,1,Nate Diaz,Manny Gamburyan,Lightweight Bout,,,The-Ultimate-Fighter-5-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-5-Finale,Submission,The-Ultimate-Fighter-5-Finale
2,2,Roger Huerta,Doug Evans,Lightweight Bout,,,The-Ultimate-Fighter-5-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-5-Finale,KO/TKO,The-Ultimate-Fighter-5-Finale
3,3,Thales Leites,Floyd Sword,Middleweight Bout,,,The-Ultimate-Fighter-5-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-5-Finale,Submission,The-Ultimate-Fighter-5-Finale
4,4,Joe Lauzon,Brandon Melendez,Lightweight Bout,,,The-Ultimate-Fighter-5-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-5-Finale,Submission,The-Ultimate-Fighter-5-Finale
5,5,Cole Miller,Andy Wang,Lightweight Bout,,,The-Ultimate-Fighter-5-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-5-Finale,KO/TKO,The-Ultimate-Fighter-5-Finale
6,6,Gray Maynard,Rob Emerson,Lightweight Bout,,,The-Ultimate-Fighter-5-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-5-Finale,Could Not Continue,The-Ultimate-Fighter-5-Finale
7,7,Leonard Garcia,Allen Berube,Lightweight Bout,,,The-Ultimate-Fighter-5-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-5-Finale,Submission,The-Ultimate-Fighter-5-Finale
8,8,Matt Wiman,Brian Geraghty,Lightweight Bout,,,The-Ultimate-Fighter-5-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-5-Finale,KO/TKO,The-Ultimate-Fighter-5-Finale
0,0,Carla Esparza,Rose Namajunas,Women's Strawweight Title Bout,,,the-ultimate-fighter-a-champion-will-be-crowned,https://www.ufc.com/event/the-ultimate-fighter-a-champion-will-be-crowned,Submission,the-ultimate-fighter-a-champion-will-be-crowned
1,1,Jeremy Stephens,Charles Oliveira,Featherweight Bout,,,the-ultimate-fighter-a-champion-will-be-crowned,https://www.ufc.com/event/the-ultimate-fighter-a-champion-will-be-crowned,Decision - Unanimous,the-ultimate-fighter-a-champion-will-be-crowned
2,2,KJ Noons,Daron Cruickshank,Lightweight Bout,,,the-ultimate-fighter-a-champion-will-be-crowned,https://www.ufc.com/event/the-ultimate-fighter-a-champion-will-be-crowned,Could Not Continue,the-ultimate-fighter-a-champion-will-be-crowned
3,3,Joe Proctor,Yancy Medeiros,Lightweight Bout,,,the-ultimate-fighter-a-champion-will-be-crowned,https://www.ufc.com/event/the-ultimate-fighter-a-champion-will-be-crowned,Submission,the-ultimate-fighter-a-champion-will-be-crowned
4,4,Jessica Penne,Randa Markos,Women's Strawweight Bout,,,the-ultimate-fighter-a-champion-will-be-crowned,https://www.ufc.com/event/the-ultimate-fighter-a-champion-will-be-crowned,Decision - Split,the-ultimate-fighter-a-champion-will-be-crowned
5,5,Felice Herrig,Lisa Ellis,Women's Strawweight Bout,,,the-ultimate-fighter-a-champion-will-be-crowned,https://www.ufc.com/event/the-ultimate-fighter-a-champion-will-be-crowned,Submission,the-ultimate-fighter-a-champion-will-be-crowned
6,6,Bec Rawlings,Heather Jo Clark,Women's Strawweight Bout,,,the-ultimate-fighter-a-champion-will-be-crowned,https://www.ufc.com/event/the-ultimate-fighter-a-champion-will-be-crowned,Decision - Unanimous,the-ultimate-fighter-a-champion-will-be-crowned
7,7,Joanne Wood,Seohee Ham,Women's Strawweight Bout,,,the-ultimate-fighter-a-champion-will-be-crowned,https://www.ufc.com/event/the-ultimate-fighter-a-champion-will-be-crowned,Decision - Unanimous,the-ultimate-fighter-a-champion-will-be-crowned
8,8,Tecia Torres,Angela Magana,Women's Strawweight Bout,,,the-ultimate-fighter-a-champion-will-be-crowned,https://www.ufc.com/event/the-ultimate-fighter-a-champion-will-be-crowned,Decision - Unanimous,the-ultimate-fighter-a-champion-will-be-crowned
9,9,Aisling Daly,Alex Chambers,Women's Strawweight Bout,,,the-ultimate-fighter-a-champion-will-be-crowned,https://www.ufc.com/event/the-ultimate-fighter-a-champion-will-be-crowned,Submission,the-ultimate-fighter-a-champion-will-be-crowned
10,10,Emily Peters Kagan,Angela Hill,Women's Strawweight Bout,,,the-ultimate-fighter-a-champion-will-be-crowned,https://www.ufc.com/event/the-ultimate-fighter-a-champion-will-be-crowned,Decision - Unanimous,the-ultimate-fighter-a-champion-will-be-crowned
0,0,Nicco Montano,Roxanne Modafferi,Women's Flyweight Title Bout,,,the-ultimate-fighter-finale-dec-1-2017,https://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017,DEC,the-ultimate-fighter-finale-dec-1-2017
1,1,Sean O'Malley,Terrion Ware,Bantamweight Bout,,,the-ultimate-fighter-finale-dec-1-2017,https://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017,DEC,the-ultimate-fighter-finale-dec-1-2017
2,2,,Lauren Murphy,Women's Flyweight Bout,,,the-ultimate-fighter-finale-dec-1-2017,https://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017,DEC,the-ultimate-fighter-finale-dec-1-2017
3,3,Eric Spicely,Gerald Meerschaert,Middleweight Bout,,,the-ultimate-fighter-finale-dec-1-2017,https://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017,KO/TKO,the-ultimate-fighter-finale-dec-1-2017
4,4,DeAnna Bennett,Melinda Fábián,Women's Flyweight Bout,,,the-ultimate-fighter-finale-dec-1-2017,https://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017,,the-ultimate-fighter-finale-dec-1-2017
5,5,Joe Soto,Brett Johns,Bantamweight Bout,,,the-ultimate-fighter-finale-dec-1-2017,https://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017,SUB,the-ultimate-fighter-finale-dec-1-2017
6,6,Christina Marks,Montana De La Rosa,Women's Flyweight Bout,,,the-ultimate-fighter-finale-dec-1-2017,https://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017,SUB,the-ultimate-fighter-finale-dec-1-2017
7,7,Andrew Sanchez,Ryan Janes,Middleweight Bout,,,the-ultimate-fighter-finale-dec-1-2017,https://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017,KO/TKO,the-ultimate-fighter-finale-dec-1-2017
8,8,Karine Gevorgyan,Rachael Ostovich,Women's Flyweight Bout,,,the-ultimate-fighter-finale-dec-1-2017,https://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017,SUB,the-ultimate-fighter-finale-dec-1-2017
9,9,Ariel Beck,Shana Dobson,Women's Flyweight Bout,,,the-ultimate-fighter-finale-dec-1-2017,https://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017,KO/TKO,the-ultimate-fighter-finale-dec-1-2017
10,10,Gillian Robertson,Emily Whitmire,Women's Flyweight Bout,,,the-ultimate-fighter-finale-dec-1-2017,https://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017,SUB,the-ultimate-fighter-finale-dec-1-2017
0,0,Brad Tavares,Israel Adesanya, ,,,the-ultimate-fighter-finale-july-6-2018,https://www.ufc.com/event/the-ultimate-fighter-finale-july-6-2018,DEC,the-ultimate-fighter-finale-july-6-2018
1,1,Michael Trizano,Joe Giannetti, ,,,the-ultimate-fighter-finale-july-6-2018,https://www.ufc.com/event/the-ultimate-fighter-finale-july-6-2018,DEC,the-ultimate-fighter-finale-july-6-2018
2,2,Jay Cucciniello,Brad Katona, ,,,the-ultimate-fighter-finale-july-6-2018,https://www.ufc.com/event/the-ultimate-fighter-finale-july-6-2018,DEC,the-ultimate-fighter-finale-july-6-2018
3,3,Alex Caceres,Martin Bravo, ,,,the-ultimate-fighter-finale-july-6-2018,https://www.ufc.com/event/the-ultimate-fighter-finale-july-6-2018,DEC,the-ultimate-fighter-finale-july-6-2018
4,4,Roxanne Modafferi,Barb Honchak, ,,,the-ultimate-fighter-finale-july-6-2018,https://www.ufc.com/event/the-ultimate-fighter-finale-july-6-2018,KO/TKO,the-ultimate-fighter-finale-july-6-2018
5,5,Alessio Di Chirico,Julian Marquez, ,,,the-ultimate-fighter-finale-july-6-2018,https://www.ufc.com/event/the-ultimate-fighter-finale-july-6-2018,DEC,the-ultimate-fighter-finale-july-6-2018
6,6,Montana De La Rosa,Rachael Ostovich, ,,,the-ultimate-fighter-finale-july-6-2018,https://www.ufc.com/event/the-ultimate-fighter-finale-july-6-2018,SUB,the-ultimate-fighter-finale-july-6-2018
7,7,Luis Pena,Richie Smullen, ,,,the-ultimate-fighter-finale-july-6-2018,https://www.ufc.com/event/the-ultimate-fighter-finale-july-6-2018,SUB,the-ultimate-fighter-finale-july-6-2018
8,8,John Gunther,Allan Zuniga, ,,,the-ultimate-fighter-finale-july-6-2018,https://www.ufc.com/event/the-ultimate-fighter-finale-july-6-2018,DEC,the-ultimate-fighter-finale-july-6-2018
9,9,Tyler Diamond,Bryce Mitchell, ,,,the-ultimate-fighter-finale-july-6-2018,https://www.ufc.com/event/the-ultimate-fighter-finale-july-6-2018,DEC,the-ultimate-fighter-finale-july-6-2018
10,10,Matt Bessette,Steven Peterson, ,,,the-ultimate-fighter-finale-july-6-2018,https://www.ufc.com/event/the-ultimate-fighter-finale-july-6-2018,DEC,the-ultimate-fighter-finale-july-6-2018
11,11,Gerald Meerschaert,Oskar Piechota, ,,,the-ultimate-fighter-finale-july-6-2018,https://www.ufc.com/event/the-ultimate-fighter-finale-july-6-2018,SUB,the-ultimate-fighter-finale-july-6-2018
0,0,Joanna Jędrzejczyk,Claudia Gadelha,Women's Strawweight Title Bout,,,the-ultimate-fighter-finale-team-joanna-team-claudia,https://www.ufc.com/event/the-ultimate-fighter-finale-team-joanna-team-claudia,DEC,the-ultimate-fighter-finale-team-joanna-team-claudia
1,1,Andrew Sanchez,Khalil Rountree Jr.,Light Heavyweight Bout,,,the-ultimate-fighter-finale-team-joanna-team-claudia,https://www.ufc.com/event/the-ultimate-fighter-finale-team-joanna-team-claudia,DEC,the-ultimate-fighter-finale-team-joanna-team-claudia
2,2,Tatiana Suarez,Amanda Cooper,Women's Strawweight Bout,,,the-ultimate-fighter-finale-team-joanna-team-claudia,https://www.ufc.com/event/the-ultimate-fighter-finale-team-joanna-team-claudia,SUB,the-ultimate-fighter-finale-team-joanna-team-claudia
3,3,Ross Pearson,Will Brooks,Lightweight Bout,,,the-ultimate-fighter-finale-team-joanna-team-claudia,https://www.ufc.com/event/the-ultimate-fighter-finale-team-joanna-team-claudia,DEC,the-ultimate-fighter-finale-team-joanna-team-claudia
4,4,Dooho Choi,Thiago Tavares,Featherweight Bout,,,the-ultimate-fighter-finale-team-joanna-team-claudia,https://www.ufc.com/event/the-ultimate-fighter-finale-team-joanna-team-claudia,KO/TKO,the-ultimate-fighter-finale-team-joanna-team-claudia
5,5,Joaquim Silva,Andrew Holbrook,Lightweight Bout,,,the-ultimate-fighter-finale-team-joanna-team-claudia,https://www.ufc.com/event/the-ultimate-fighter-finale-team-joanna-team-claudia,KO/TKO,the-ultimate-fighter-finale-team-joanna-team-claudia
6,6,Gray Maynard,,Featherweight Bout,,,the-ultimate-fighter-finale-team-joanna-team-claudia,https://www.ufc.com/event/the-ultimate-fighter-finale-team-joanna-team-claudia,DEC,the-ultimate-fighter-finale-team-joanna-team-claudia
7,7,John Moraga,Matheus Nicolau,Flyweight Bout,,,the-ultimate-fighter-finale-team-joanna-team-claudia,https://www.ufc.com/event/the-ultimate-fighter-finale-team-joanna-team-claudia,DEC,the-ultimate-fighter-finale-team-joanna-team-claudia
8,8,Cory Hendricks,Joshua Stansbury,Light Heavyweight Bout,,,the-ultimate-fighter-finale-team-joanna-team-claudia,https://www.ufc.com/event/the-ultimate-fighter-finale-team-joanna-team-claudia,DEC,the-ultimate-fighter-finale-team-joanna-team-claudia
9,9,Cezar Ferreira,Anthony Smith,Middleweight Bout,,,the-ultimate-fighter-finale-team-joanna-team-claudia,https://www.ufc.com/event/the-ultimate-fighter-finale-team-joanna-team-claudia,DEC,the-ultimate-fighter-finale-team-joanna-team-claudia
10,10,Jake Matthews,Kevin Lee,Lightweight Bout,,,the-ultimate-fighter-finale-team-joanna-team-claudia,https://www.ufc.com/event/the-ultimate-fighter-finale-team-joanna-team-claudia,KO/TKO,the-ultimate-fighter-finale-team-joanna-team-claudia
11,11,Li Jingliang,Anton Zafir,Welterweight Bout,,,the-ultimate-fighter-finale-team-joanna-team-claudia,https://www.ufc.com/event/the-ultimate-fighter-finale-team-joanna-team-claudia,KO/TKO,the-ultimate-fighter-finale-team-joanna-team-claudia
0,0,Frankie Edgar,Chad Mendes,Featherweight Bout,,,the-ultimate-fighter-finale-team-mcgregor-team-faber,https://www.ufc.com/event/the-ultimate-fighter-finale-team-mcgregor-team-faber,KO/TKO,the-ultimate-fighter-finale-team-mcgregor-team-faber
1,1,Artem Lobov,Ryan Hall,Lightweight Bout,,,the-ultimate-fighter-finale-team-mcgregor-team-faber,https://www.ufc.com/event/the-ultimate-fighter-finale-team-mcgregor-team-faber,DEC,the-ultimate-fighter-finale-team-mcgregor-team-faber
2,2,Edson Barboza,Tony Ferguson,Lightweight Bout,,,the-ultimate-fighter-finale-team-mcgregor-team-faber,https://www.ufc.com/event/the-ultimate-fighter-finale-team-mcgregor-team-faber,SUB,the-ultimate-fighter-finale-team-mcgregor-team-faber
3,3,Joe Lauzon,Evan Dunham,Lightweight Bout,,,the-ultimate-fighter-finale-team-mcgregor-team-faber,https://www.ufc.com/event/the-ultimate-fighter-finale-team-mcgregor-team-faber,DEC,the-ultimate-fighter-finale-team-mcgregor-team-faber
4,4,Tatsuya Kawajiri,Jason Knight,Featherweight Bout,,,the-ultimate-fighter-finale-team-mcgregor-team-faber,https://www.ufc.com/event/the-ultimate-fighter-finale-team-mcgregor-team-faber,DEC,the-ultimate-fighter-finale-team-mcgregor-team-faber
5,5,Julian Erosa,Marcin Wrzosek,Lightweight Bout,,,the-ultimate-fighter-finale-team-mcgregor-team-faber,https://www.ufc.com/event/the-ultimate-fighter-finale-team-mcgregor-team-faber,DEC,the-ultimate-fighter-finale-team-mcgregor-team-faber
6,6,Gabriel Gonzaga,Konstantin Erokhin,Heavyweight Bout,,,the-ultimate-fighter-finale-team-mcgregor-team-faber,https://www.ufc.com/event/the-ultimate-fighter-finale-team-mcgregor-team-faber,DEC,the-ultimate-fighter-finale-team-mcgregor-team-faber
7,7,Ryan LaFlare,Mike Pierce,Welterweight Bout,,,the-ultimate-fighter-finale-team-mcgregor-team-faber,https://www.ufc.com/event/the-ultimate-fighter-finale-team-mcgregor-team-faber,DEC,the-ultimate-fighter-finale-team-mcgregor-team-faber
8,8,Joby Sanchez,Geane Herrera,Flyweight Bout,,,the-ultimate-fighter-finale-team-mcgregor-team-faber,https://www.ufc.com/event/the-ultimate-fighter-finale-team-mcgregor-team-faber,KO/TKO,the-ultimate-fighter-finale-team-mcgregor-team-faber
9,9,Chris Gruetzemacher,Abner Lloveras,Lightweight Bout,,,the-ultimate-fighter-finale-team-mcgregor-team-faber,https://www.ufc.com/event/the-ultimate-fighter-finale-team-mcgregor-team-faber,DEC,the-ultimate-fighter-finale-team-mcgregor-team-faber
0,0,Efrain Escudero,Phillipe Nover,Lightweight Bout,,,The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir,https://www.ufc.com/event/The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir,Decision - Unanimous,The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir
1,1,Ryan Bader,Vinny Magalhaes,Light Heavyweight Bout,,,The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir,https://www.ufc.com/event/The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir,KO/TKO,The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir
2,2,Anthony Johnson,Kevin Burns,Welterweight Bout,,,The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir,https://www.ufc.com/event/The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir,KO/TKO,The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir
3,3,Wilson Gouveia,Jason MacDonald,Middleweight Bout,,,The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir,https://www.ufc.com/event/The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir,KO/TKO,The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir
4,4,Junie Browning,Dave Kaplan,Lightweight Bout,,,The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir,https://www.ufc.com/event/The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir,Submission,The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir
5,5,Krzysztof Soszynski,Shane Primm,Light Heavyweight Bout,,,The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir,https://www.ufc.com/event/The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir,Submission,The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir
6,6,Eliot Marshall,Jules Bruchez,Light Heavyweight Bout,,,The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir,https://www.ufc.com/event/The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir,Submission,The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir
7,7,Tom Lawlor,Kyle Kingsbury,Light Heavyweight Bout,,,The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir,https://www.ufc.com/event/The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir,Decision - Unanimous,The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir
8,8,Shane Nelson,George Roop,Lightweight Bout,,,The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir,https://www.ufc.com/event/The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir,Decision - Split,The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir
9,9,Rolando Delgado,John Polakowski,Lightweight Bout,,,The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir,https://www.ufc.com/event/The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir,Submission,The-Ultimate-Fighter-Finale-Team-Nog-vs-Team-Mir
0,0,Roy Nelson,Brendan Schaub,Heavyweight Bout,,,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,KO/TKO,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale
1,1,Matt Hamill,Jon Jones,Light Heavyweight Bout,,,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,DQ,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale
2,2,Kimbo Slice,Houston Alexander, Bout,,,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,Decision - Unanimous,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale
3,3,Frankie Edgar,Matt Veach,Lightweight Bout,,,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,Submission,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale
4,4,Matt Mitrione,Marcus Jones,Heavyweight Bout,,,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,KO/TKO,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale
5,5,James McSweeney,Darrill Schoonover,Heavyweight Bout,,,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,KO/TKO,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale
6,6,Jon Madsen,Justin Wren,Heavyweight Bout,,,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,Decision - Split,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale
7,7,Brian Stann,Rodney Wallace,Light Heavyweight Bout,,,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,Decision - Unanimous,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale
8,8,John Howard,Dennis Hallman,Welterweight Bout,,,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,KO/TKO,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale
9,9,Mark Bocek,Joe Brammer,Lightweight Bout,,,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,Submission,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale
0,0,Michael Johnson,Justin Gaethje,Lightweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,KO/TKO,the-ultimate-fighter-redemption-finale
1,1,Dhiego Lima,Jesse Taylor,Welterweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,SUB,the-ultimate-fighter-redemption-finale
2,2,Marc Diakiese,Drakkar Klose,Lightweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,DEC,the-ultimate-fighter-redemption-finale
3,3,Jared Cannonier,Nick Roehrick,Light Heavyweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,KO/TKO,the-ultimate-fighter-redemption-finale
4,4,Brad Tavares,Elias Theodorou,Middleweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,DEC,the-ultimate-fighter-redemption-finale
5,5,Jordan Johnson,Marcel Fortuna,Light Heavyweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,DEC,the-ultimate-fighter-redemption-finale
6,6,Angela Hill,Ashley Yoder,Women's Strawweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,DEC,the-ultimate-fighter-redemption-finale
7,7,James Krause,Tom Gallicchio,Welterweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,DEC,the-ultimate-fighter-redemption-finale
8,8,Ed Herman,CB Dollaway,Light Heavyweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,DEC,the-ultimate-fighter-redemption-finale
9,9,Tecia Torres,Juliana Lima,Women's Strawweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,SUB,the-ultimate-fighter-redemption-finale
10,10,Gray Maynard,Teruto Ishihara,Featherweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,DEC,the-ultimate-fighter-redemption-finale
0,0,Kendall Grove,Evan Tanner,Middleweight Bout,,,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,Decision - Split,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale
1,1,Amir Sadollah,CB Dollaway,Middleweight Bout,,,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,Submission,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale
