,Unnamed: 0,fighter1,fighter2,weightclass,fighter1_odds,fighter2_odds,event_url,full_event_url,method,event
2,2,Luke Barnatt,Sean Strickland,Middleweight Bout,,,fight-night-berlin,https://www.ufc.com/event/fight-night-berlin,Decision - Split,fight-night-berlin
3,3,Tom Niinimaki,Niklas Backstrom,Featherweight Bout,,,fight-night-berlin,https://www.ufc.com/event/fight-night-berlin,Submission,fight-night-berlin
4,4,Nick Hein,Drew Dober,Lightweight Bout,,,fight-night-berlin,https://www.ufc.com/event/fight-night-berlin,Decision - Unanimous,fight-night-berlin
5,5,Magnus Cedenblad,Krzysztof Jotko,Middleweight Bout,,,fight-night-berlin,https://www.ufc.com/event/fight-night-berlin,Submission,fight-night-berlin
6,6,Vaughan Lee,Iuri Alcantara,Bantamweight Bout,,,fight-night-berlin,https://www.ufc.com/event/fight-night-berlin,KO/TKO,fight-night-berlin
7,7,Peter Sobotta,Pawel Pawlak,Welterweight Bout,,,fight-night-berlin,https://www.ufc.com/event/fight-night-berlin,Decision - Unanimous,fight-night-berlin
8,8,Andy Ogle,Maximo Blanco,Featherweight Bout,,,fight-night-berlin,https://www.ufc.com/event/fight-night-berlin,Decision - Unanimous,fight-night-berlin
9,9,Viktor Pesta,Ruslan Magomedov,Heavyweight Bout,,,fight-night-berlin,https://www.ufc.com/event/fight-night-berlin,Decision - Unanimous,fight-night-berlin
0,0,Junior Dos Santos,Blagoy Ivanov, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,DEC,fight-night-boise-2018
1,1,Sage Northcutt,Zak Ottow, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,KO/TKO,fight-night-boise-2018
2,2,Dennis Bermudez,Ricky Glenn, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,DEC,fight-night-boise-2018
3,3,Randy Brown,Niko Price, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,KO/TKO,fight-night-boise-2018
4,4,Myles Jury,Chad Mendes, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,KO/TKO,fight-night-boise-2018
5,5,Cat Zingano,Marion Reneau, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,DEC,fight-night-boise-2018
6,6,Eddie Wineland,Alejandro Pérez, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,DEC,fight-night-boise-2018
7,7,Darren Elkins,Alexander Volkanovski, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,DEC,fight-night-boise-2018
8,8,Justin Scoggins,Said Nurmagomedov, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,,fight-night-boise-2018
9,9,Kurt Holobaugh,Raoni Barcelos, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,KO/TKO,fight-night-boise-2018
10,10,Liz Carmouche,Jennifer Maia, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,DEC,fight-night-boise-2018
11,11,Mark De La Rosa,Elias Garcia, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,SUB,fight-night-boise-2018
12,12,Jessica Aguilar,Jodie Esquibel, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,DEC,fight-night-boise-2018
0,0,Eddie Alvarez,Dustin Poirier,Lightweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,KO/TKO,fight-night-canada-july-28-2018
1,1,José Aldo,Jeremy Stephens,Featherweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,KO/TKO,fight-night-canada-july-28-2018
2,2,Joanna Jędrzejczyk,Tecia Torres,Women's Strawweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,DEC,fight-night-canada-july-28-2018
3,3,Alexander Hernandez,Olivier Aubin-Mercier,Lightweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,DEC,fight-night-canada-july-28-2018
4,4,Jordan Mein,Alex Morono,Welterweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,DEC,fight-night-canada-july-28-2018
5,5,Hakeem Dawodu,Austin Arnett,Featherweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,DEC,fight-night-canada-july-28-2018
6,6,Kajan Johnson,Islam Makhachev,Lightweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,SUB,fight-night-canada-july-28-2018
7,7,Gadzhimurad Antigulov,Ion Cutelaba,Light Heavyweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,KO/TKO,fight-night-canada-july-28-2018
8,8,John Makdessi,Ross Pearson,Lightweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,DEC,fight-night-canada-july-28-2018
9,9,Alexis Davis,Katlyn Chookagian,Women's Flyweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,DEC,fight-night-canada-july-28-2018
10,10,Dustin Ortiz,Matheus Nicolau,Flyweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,KO/TKO,fight-night-canada-july-28-2018
11,11,Randa Markos,Nina Nunes,Women's Strawweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,DEC,fight-night-canada-july-28-2018
12,12,Devin Powell,Alvaro Herrera,Lightweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,KO/TKO,fight-night-canada-july-28-2018
0,0,Mauricio Rua,Anthony Smith,Light Heavyweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,KO/TKO,fight-night-hamburg-2018
1,1,Glover Teixeira,Corey Anderson,Light Heavyweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,DEC,fight-night-hamburg-2018
2,2,,Abu Azaitar,Middleweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,DEC,fight-night-hamburg-2018
3,3,Marcin Tybura,Stefan Struve,Heavyweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,DEC,fight-night-hamburg-2018
4,4,Danny Roberts,David Zawada,Welterweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,DEC,fight-night-hamburg-2018
5,5,Nasrat Haqparast,Marc Diakiese,Lightweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,DEC,fight-night-hamburg-2018
6,6,Nick Hein,Damir Hadzovic,Lightweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,DEC,fight-night-hamburg-2018
7,7,Emil Meek,Bartosz Fabinski,Welterweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,DEC,fight-night-hamburg-2018
8,8,Khalid Taha,Nad Narimani,Featherweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,DEC,fight-night-hamburg-2018
9,9,Justin Ledet,Aleksandar Rakić,Light Heavyweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,DEC,fight-night-hamburg-2018
10,10,Davey Grant,Manny Bermudez,Bantamweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,SUB,fight-night-hamburg-2018
11,11,Jeremy Kimball,Darko Stosic,Light Heavyweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,KO/TKO,fight-night-hamburg-2018
12,12,Damian Stasiak,Pingyuan Liu,Bantamweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,,fight-night-hamburg-2018
0,0,Johny Hendricks,Stephen Thompson,Welterweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,KO/TKO,fight-night-hendricks-vs-thompson
1,1,Roy Nelson,Jared Rosholt,Heavyweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,DEC,fight-night-hendricks-vs-thompson
2,2,Ovince Saint Preux,Rafael Cavalcante,Light Heavyweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,DEC,fight-night-hendricks-vs-thompson
3,3,Joseph Benavidez,Zach Makovsky,Flyweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,DEC,fight-night-hendricks-vs-thompson
4,4,Misha Cirkunov,Alex Nicholson,Light Heavyweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,SUB,fight-night-hendricks-vs-thompson
5,5,Mike Pyle,Sean Spencer,Welterweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,KO/TKO,fight-night-hendricks-vs-thompson
6,6,Joshua Burkman,KJ Noons,Lightweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,DEC,fight-night-hendricks-vs-thompson
7,7,Derrick Lewis,Damian Grabowski,Heavyweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,KO/TKO,fight-night-hendricks-vs-thompson
8,8,Ray Borg,Justin Scoggins,Flyweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,DEC,fight-night-hendricks-vs-thompson
9,9,Noad Lahat,Diego Rivas,Featherweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,KO/TKO,fight-night-hendricks-vs-thompson
10,10,Mickey Gall,Mike Jackson,Welterweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,SUB,fight-night-hendricks-vs-thompson
