fighter1,fighter2,weightclass,fighter1_odds,fighter2_odds,event_url,full_event_url,method,event,event_name,full_event_name
Felipe Arantes,Yadong Song, ,,,fight-night-asia-june-2018,https://www.ufc.com/event/fight-night-asia-june-2018,KO/TKO,fight-night-asia-june-2018,Cowboy vs Edwards,fight night asia june 2018 Cowboy vs Edwards
Rolando Dy,Shane Young, ,,,fight-night-asia-june-2018,https://www.ufc.com/event/fight-night-asia-june-2018,KO/TKO,fight-night-asia-june-2018,Cowboy vs Edwards,fight night asia june 2018 Cowboy vs Edwards
Song Kenan,Hector Aldana, ,,,fight-night-asia-june-2018,https://www.ufc.com/event/fight-night-asia-june-2018,KO/TKO,fight-night-asia-june-2018,Cowboy vs Edwards,fight night asia june 2018 Cowboy vs Edwards
Shinsho Anzai,Jake Matthews, ,,,fight-night-asia-june-2018,https://www.ufc.com/event/fight-night-asia-june-2018,SUB,fight-night-asia-june-2018,Cowboy vs Edwards,fight night asia june 2018 Cowboy vs Edwards
Viviane Pereira,Xiaonan Yan, ,,,fight-night-asia-june-2018,https://www.ufc.com/event/fight-night-asia-june-2018,DEC,fight-night-asia-june-2018,Cowboy vs Edwards,fight night asia june 2018 Cowboy vs Edwards
Matt Schnell,Naoki Inoue, ,,,fight-night-asia-june-2018,https://www.ufc.com/event/fight-night-asia-june-2018,DEC,fight-night-asia-june-2018,Cowboy vs Edwards,fight night asia june 2018 Cowboy vs Edwards
Jenel Lausa,Ulka Sasaki, ,,,fight-night-asia-june-2018,https://www.ufc.com/event/fight-night-asia-june-2018,SUB,fight-night-asia-june-2018,Cowboy vs Edwards,fight night asia june 2018 Cowboy vs Edwards
Ji Yeon Kim,Melinda Fábián, ,,,fight-night-asia-june-2018,https://www.ufc.com/event/fight-night-asia-june-2018,DEC,fight-night-asia-june-2018,Cowboy vs Edwards,fight night asia june 2018 Cowboy vs Edwards
Edson Barboza,Kevin Lee,Lightweight Bout,,,fight-night-atlantic-city-2018,https://www.ufc.com/event/fight-night-atlantic-city-2018,KO/TKO,fight-night-atlantic-city-2018,Barboza vs Lee,fight night atlantic city 2018 Barboza vs Lee
Frankie Edgar,Cub Swanson,Featherweight Bout,,,fight-night-atlantic-city-2018,https://www.ufc.com/event/fight-night-atlantic-city-2018,DEC,fight-night-atlantic-city-2018,Barboza vs Lee,fight night atlantic city 2018 Barboza vs Lee
Justin Willis,Chase Sherman,Heavyweight Bout,,,fight-night-atlantic-city-2018,https://www.ufc.com/event/fight-night-atlantic-city-2018,DEC,fight-night-atlantic-city-2018,Barboza vs Lee,fight night atlantic city 2018 Barboza vs Lee
David Branch,Thiago Santos,Middleweight Bout,,,fight-night-atlantic-city-2018,https://www.ufc.com/event/fight-night-atlantic-city-2018,KO/TKO,fight-night-atlantic-city-2018,Barboza vs Lee,fight night atlantic city 2018 Barboza vs Lee
Aljamain Sterling,Brett Johns,Bantamweight Bout,,,fight-night-atlantic-city-2018,https://www.ufc.com/event/fight-night-atlantic-city-2018,DEC,fight-night-atlantic-city-2018,Barboza vs Lee,fight night atlantic city 2018 Barboza vs Lee
Jim Miller,Dan Hooker,Lightweight Bout,,,fight-night-atlantic-city-2018,https://www.ufc.com/event/fight-night-atlantic-city-2018,KO/TKO,fight-night-atlantic-city-2018,Barboza vs Lee,fight night atlantic city 2018 Barboza vs Lee
