fighter1,fighter2,weightclass,fighter1_odds,fighter2_odds,event_url,full_event_url,method,event,event_name,full_event_name
Kimbo Slice,Houston Alexander, Bout,,,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,Decision - Unanimous,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,Heavyweights FINALE,The Ultimate Fighter HEAVYWEIGHTS Finale Heavyweights FINALE
Frankie Edgar,Matt Veach,Lightweight Bout,,,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,Submission,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,Heavyweights FINALE,The Ultimate Fighter HEAVYWEIGHTS Finale Heavyweights FINALE
Matt Mitrione,Marcus Jones,Heavyweight Bout,,,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,KO/TKO,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,Heavyweights FINALE,The Ultimate Fighter HEAVYWEIGHTS Finale Heavyweights FINALE
James McSweeney,Darrill Schoonover,Heavyweight Bout,,,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,KO/TKO,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,Heavyweights FINALE,The Ultimate Fighter HEAVYWEIGHTS Finale Heavyweights FINALE
Jon Madsen,Justin Wren,Heavyweight Bout,,,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,Decision - Split,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,Heavyweights FINALE,The Ultimate Fighter HEAVYWEIGHTS Finale Heavyweights FINALE
Brian Stann,Rodney Wallace,Light Heavyweight Bout,,,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,Decision - Unanimous,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,Heavyweights FINALE,The Ultimate Fighter HEAVYWEIGHTS Finale Heavyweights FINALE
John Howard,Dennis Hallman,Welterweight Bout,,,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,KO/TKO,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,Heavyweights FINALE,The Ultimate Fighter HEAVYWEIGHTS Finale Heavyweights FINALE
Mark Bocek,Joe Brammer,Lightweight Bout,,,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,Submission,The-Ultimate-Fighter-HEAVYWEIGHTS-Finale,Heavyweights FINALE,The Ultimate Fighter HEAVYWEIGHTS Finale Heavyweights FINALE
Michael Johnson,Justin Gaethje,Lightweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,KO/TKO,the-ultimate-fighter-redemption-finale,Johnson vs Gaethje,the ultimate fighter redemption finale Johnson vs Gaethje
Dhiego Lima,Jesse Taylor,Welterweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,SUB,the-ultimate-fighter-redemption-finale,Johnson vs Gaethje,the ultimate fighter redemption finale Johnson vs Gaethje
Marc Diakiese,Drakkar Klose,Lightweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,DEC,the-ultimate-fighter-redemption-finale,Johnson vs Gaethje,the ultimate fighter redemption finale Johnson vs Gaethje
Jared Cannonier,Nick Roehrick,Light Heavyweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,KO/TKO,the-ultimate-fighter-redemption-finale,Johnson vs Gaethje,the ultimate fighter redemption finale Johnson vs Gaethje
Brad Tavares,Elias Theodorou,Middleweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,DEC,the-ultimate-fighter-redemption-finale,Johnson vs Gaethje,the ultimate fighter redemption finale Johnson vs Gaethje
Jordan Johnson,Marcel Fortuna,Light Heavyweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,DEC,the-ultimate-fighter-redemption-finale,Johnson vs Gaethje,the ultimate fighter redemption finale Johnson vs Gaethje
Angela Hill,Ashley Yoder,Women's Strawweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,DEC,the-ultimate-fighter-redemption-finale,Johnson vs Gaethje,the ultimate fighter redemption finale Johnson vs Gaethje
James Krause,Tom Gallicchio,Welterweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,DEC,the-ultimate-fighter-redemption-finale,Johnson vs Gaethje,the ultimate fighter redemption finale Johnson vs Gaethje
Ed Herman,CB Dollaway,Light Heavyweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,DEC,the-ultimate-fighter-redemption-finale,Johnson vs Gaethje,the ultimate fighter redemption finale Johnson vs Gaethje
Tecia Torres,Juliana Lima,Women's Strawweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,SUB,the-ultimate-fighter-redemption-finale,Johnson vs Gaethje,the ultimate fighter redemption finale Johnson vs Gaethje
Gray Maynard,Teruto Ishihara,Featherweight Bout,,,the-ultimate-fighter-redemption-finale,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale,DEC,the-ultimate-fighter-redemption-finale,Johnson vs Gaethje,the ultimate fighter redemption finale Johnson vs Gaethje
Kendall Grove,Evan Tanner,Middleweight Bout,,,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,Decision - Split,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,Team Rampage vs Team Forrest,The Ultimate Fighter T Rampage vs T Forrest Finale Team Rampage vs Team Forrest
Amir Sadollah,CB Dollaway,Middleweight Bout,,,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,Submission,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,Team Rampage vs Team Forrest,The Ultimate Fighter T Rampage vs T Forrest Finale Team Rampage vs Team Forrest
Diego Sanchez,Luigi Fioravanti,Welterweight Bout,,,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,KO/TKO,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,Team Rampage vs Team Forrest,The Ultimate Fighter T Rampage vs T Forrest Finale Team Rampage vs Team Forrest
Spencer Fisher,Jeremy Stephens,Lightweight Bout,,,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,Decision - Unanimous,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,Team Rampage vs Team Forrest,The Ultimate Fighter T Rampage vs T Forrest Finale Team Rampage vs Team Forrest
Matthew Riddle,Dante Rivera,Middleweight Bout,,,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,Decision - Unanimous,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,Team Rampage vs Team Forrest,The Ultimate Fighter T Rampage vs T Forrest Finale Team Rampage vs Team Forrest
Dustin Hazelett,Joshua Burkman,Welterweight Bout,,,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,Submission,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,Team Rampage vs Team Forrest,The Ultimate Fighter T Rampage vs T Forrest Finale Team Rampage vs Team Forrest
Drew McFedries,Marvin Eastman,Middleweight Bout,,,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,KO/TKO,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,Team Rampage vs Team Forrest,The Ultimate Fighter T Rampage vs T Forrest Finale Team Rampage vs Team Forrest
Matt Brown,Matt Arroyo,Welterweight Bout,,,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,KO/TKO,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,Team Rampage vs Team Forrest,The Ultimate Fighter T Rampage vs T Forrest Finale Team Rampage vs Team Forrest
Dean Lister,Jeremy Horn,Middleweight Bout,,,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,Submission,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,Team Rampage vs Team Forrest,The Ultimate Fighter T Rampage vs T Forrest Finale Team Rampage vs Team Forrest
Rob Kimmons,Rob Yundt,Middleweight Bout,,,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,https://www.ufc.com/event/The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,Submission,The-Ultimate-Fighter-T-Rampage-vs-T-Forrest-Finale,Team Rampage vs Team Forrest,The Ultimate Fighter T Rampage vs T Forrest Finale Team Rampage vs Team Forrest
Jake Ellenberger,Stephen Thompson,Welterweight Bout,,,the-ultimate-fighter-team-att-team-blackzilians,https://www.ufc.com/event/the-ultimate-fighter-team-att-team-blackzilians,KO/TKO,the-ultimate-fighter-team-att-team-blackzilians,American Top Team vs. Blackzilians,the ultimate fighter team att team blackzilians American Top Team vs. Blackzilians
Kamaru Usman,Hayder Hassan,Welterweight Bout,,,the-ultimate-fighter-team-att-team-blackzilians,https://www.ufc.com/event/the-ultimate-fighter-team-att-team-blackzilians,SUB,the-ultimate-fighter-team-att-team-blackzilians,American Top Team vs. Blackzilians,the ultimate fighter team att team blackzilians American Top Team vs. Blackzilians
Michael Graves,Vicente Luque,Welterweight Bout,,,the-ultimate-fighter-team-att-team-blackzilians,https://www.ufc.com/event/the-ultimate-fighter-team-att-team-blackzilians,DEC,the-ultimate-fighter-team-att-team-blackzilians,American Top Team vs. Blackzilians,the ultimate fighter team att team blackzilians American Top Team vs. Blackzilians
Jorge Masvidal,Cezar Ferreira,Welterweight Bout,,,the-ultimate-fighter-team-att-team-blackzilians,https://www.ufc.com/event/the-ultimate-fighter-team-att-team-blackzilians,KO/TKO,the-ultimate-fighter-team-att-team-blackzilians,American Top Team vs. Blackzilians,the ultimate fighter team att team blackzilians American Top Team vs. Blackzilians
Angela Magana,Michelle Waterson-Gomez,Women's Strawweight Bout,,,the-ultimate-fighter-team-att-team-blackzilians,https://www.ufc.com/event/the-ultimate-fighter-team-att-team-blackzilians,SUB,the-ultimate-fighter-team-att-team-blackzilians,American Top Team vs. Blackzilians,the ultimate fighter team att team blackzilians American Top Team vs. Blackzilians
Maximo Blanco,Mike De La Torre,Featherweight Bout,,,the-ultimate-fighter-team-att-team-blackzilians,https://www.ufc.com/event/the-ultimate-fighter-team-att-team-blackzilians,KO/TKO,the-ultimate-fighter-team-att-team-blackzilians,American Top Team vs. Blackzilians,the ultimate fighter team att team blackzilians American Top Team vs. Blackzilians
Josh Samman,Caio Magalhaes,Middleweight Bout,,,the-ultimate-fighter-team-att-team-blackzilians,https://www.ufc.com/event/the-ultimate-fighter-team-att-team-blackzilians,SUB,the-ultimate-fighter-team-att-team-blackzilians,American Top Team vs. Blackzilians,the ultimate fighter team att team blackzilians American Top Team vs. Blackzilians
Russell Doane,Jerrod Sanders,Bantamweight Bout,,,the-ultimate-fighter-team-att-team-blackzilians,https://www.ufc.com/event/the-ultimate-fighter-team-att-team-blackzilians,DEC,the-ultimate-fighter-team-att-team-blackzilians,American Top Team vs. Blackzilians,the ultimate fighter team att team blackzilians American Top Team vs. Blackzilians
Dan Miller,Trevor Smith,Middleweight Bout,,,the-ultimate-fighter-team-att-team-blackzilians,https://www.ufc.com/event/the-ultimate-fighter-team-att-team-blackzilians,DEC,the-ultimate-fighter-team-att-team-blackzilians,American Top Team vs. Blackzilians,the ultimate fighter team att team blackzilians American Top Team vs. Blackzilians
Darrell Montague,Willie Gates,Flyweight Bout,,,the-ultimate-fighter-team-att-team-blackzilians,https://www.ufc.com/event/the-ultimate-fighter-team-att-team-blackzilians,KO/TKO,the-ultimate-fighter-team-att-team-blackzilians,American Top Team vs. Blackzilians,the ultimate fighter team att team blackzilians American Top Team vs. Blackzilians
Court McGee,Kris McCray,Middleweight Bout,,,The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,https://www.ufc.com/event/The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,Submission,The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,Team Liddell vs Team Ortiz,The Ultimate Fighter Team Liddell vs Team Ortiz FINALE Team Liddell vs Team Ortiz
Keith Jardine,Matt Hamill,Light Heavyweight Bout,,,The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,https://www.ufc.com/event/The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,Decision - Majority,The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,Team Liddell vs Team Ortiz,The Ultimate Fighter Team Liddell vs Team Ortiz FINALE Team Liddell vs Team Ortiz
Chris Leben,Aaron Simpson,Middleweight Bout,,,The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,https://www.ufc.com/event/The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,KO/TKO,The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,Team Liddell vs Team Ortiz,The Ultimate Fighter Team Liddell vs Team Ortiz FINALE Team Liddell vs Team Ortiz
Spencer Fisher,Dennis Siver,Lightweight Bout,,,The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,https://www.ufc.com/event/The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,Decision - Unanimous,The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,Team Liddell vs Team Ortiz,The Ultimate Fighter Team Liddell vs Team Ortiz FINALE Team Liddell vs Team Ortiz
Jamie Yager,Rich Attonito,Middleweight Bout,,,The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,https://www.ufc.com/event/The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,KO/TKO,The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,Team Liddell vs Team Ortiz,The Ultimate Fighter Team Liddell vs Team Ortiz FINALE Team Liddell vs Team Ortiz
John Gunderson,Mark Holst,Lightweight Bout,,,The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,https://www.ufc.com/event/The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,Decision - Unanimous,The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,Team Liddell vs Team Ortiz,The Ultimate Fighter Team Liddell vs Team Ortiz FINALE Team Liddell vs Team Ortiz
Brad Tavares,Seth Baczynski,Middleweight Bout,,,The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,https://www.ufc.com/event/The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,Decision - Unanimous,The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,Team Liddell vs Team Ortiz,The Ultimate Fighter Team Liddell vs Team Ortiz FINALE Team Liddell vs Team Ortiz
Josh Bryant,Kyle Noke,Middleweight Bout,,,The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,https://www.ufc.com/event/The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,KO/TKO,The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,Team Liddell vs Team Ortiz,The Ultimate Fighter Team Liddell vs Team Ortiz FINALE Team Liddell vs Team Ortiz
Chris Camozzi,James Hammortree,Middleweight Bout,,,The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,https://www.ufc.com/event/The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,Decision - Unanimous,The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,Team Liddell vs Team Ortiz,The Ultimate Fighter Team Liddell vs Team Ortiz FINALE Team Liddell vs Team Ortiz
James McSweeney,Travis Browne,Heavyweight Bout,,,The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,https://www.ufc.com/event/The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,KO/TKO,The-Ultimate-Fighter-Team-Liddell-vs-Team-Ortiz-FINALE,Team Liddell vs Team Ortiz,The Ultimate Fighter Team Liddell vs Team Ortiz FINALE Team Liddell vs Team Ortiz
Diego Sanchez,Clay Guida,Lightweight Bout,,,The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,https://www.ufc.com/event/The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,Decision - Split,The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,Team US vs Team UK FINALE,The Ultimate Fighter Team US vs Team UK FINALE Team US vs Team UK FINALE
James Wilks,DaMarques Johnson,Welterweight Bout,,,The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,https://www.ufc.com/event/The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,Submission,The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,Team US vs Team UK FINALE,The Ultimate Fighter Team US vs Team UK FINALE Team US vs Team UK FINALE
Chris Lytle,Kevin Burns,Welterweight Bout,,,The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,https://www.ufc.com/event/The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,Decision - Unanimous,The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,Team US vs Team UK FINALE,The Ultimate Fighter Team US vs Team UK FINALE Team US vs Team UK FINALE
Ross Pearson,Andre Winner,Lightweight Bout,,,The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,https://www.ufc.com/event/The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,Decision - Unanimous,The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,Team US vs Team UK FINALE,The Ultimate Fighter Team US vs Team UK FINALE Team US vs Team UK FINALE
Joe Stevenson,Nate Diaz,Lightweight Bout,,,The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,https://www.ufc.com/event/The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,Decision - Unanimous,The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,Team US vs Team UK FINALE,The Ultimate Fighter Team US vs Team UK FINALE Team US vs Team UK FINALE
Melvin Guillard,Gleison Tibau,Lightweight Bout,,,The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,https://www.ufc.com/event/The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,Decision - Split,The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,Team US vs Team UK FINALE,The Ultimate Fighter Team US vs Team UK FINALE Team US vs Team UK FINALE
Brad Blackburn,Edgar Garcia,Welterweight Bout,,,The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,https://www.ufc.com/event/The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,Decision - Split,The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,Team US vs Team UK FINALE,The Ultimate Fighter Team US vs Team UK FINALE Team US vs Team UK FINALE
Tomasz Drwal,Mike Ciesnolevicz,Light Heavyweight Bout,,,The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,https://www.ufc.com/event/The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,KO/TKO,The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,Team US vs Team UK FINALE,The Ultimate Fighter Team US vs Team UK FINALE Team US vs Team UK FINALE
Nick Osipczak,Frank Lester,Welterweight Bout,,,The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,https://www.ufc.com/event/The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,Submission,The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,Team US vs Team UK FINALE,The Ultimate Fighter Team US vs Team UK FINALE Team US vs Team UK FINALE
Jason Dent,Cameron Dollar,Lightweight Bout,,,The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,https://www.ufc.com/event/The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,Submission,The-Ultimate-Fighter-Team-US-vs-Team-UK-FINALE,Team US vs Team UK FINALE,The Ultimate Fighter Team US vs Team UK FINALE Team US vs Team UK FINALE
Rafael Dos Anjos,Kamaru Usman,Welterweight Bout,,,tuf-28-finale-2018,https://www.ufc.com/event/tuf-28-finale-2018,DEC,tuf-28-finale-2018,Dos Anjos vs Usman,tuf 28 finale 2018 Dos Anjos vs Usman
Juan Espino,Justin Frazier, ,,,tuf-28-finale-2018,https://www.ufc.com/event/tuf-28-finale-2018,SUB,tuf-28-finale-2018,Dos Anjos vs Usman,tuf 28 finale 2018 Dos Anjos vs Usman
Pannie Kianzad,Macy Chiasson, ,,,tuf-28-finale-2018,https://www.ufc.com/event/tuf-28-finale-2018,SUB,tuf-28-finale-2018,Dos Anjos vs Usman,tuf 28 finale 2018 Dos Anjos vs Usman
Pedro Munhoz,Bryan Caraway,Bantamweight Bout,,,tuf-28-finale-2018,https://www.ufc.com/event/tuf-28-finale-2018,KO/TKO,tuf-28-finale-2018,Dos Anjos vs Usman,tuf 28 finale 2018 Dos Anjos vs Usman
Darren Stewart,Edmen Shahbazyan,Middleweight Bout,,,tuf-28-finale-2018,https://www.ufc.com/event/tuf-28-finale-2018,DEC,tuf-28-finale-2018,Dos Anjos vs Usman,tuf 28 finale 2018 Dos Anjos vs Usman
Ji Yeon Kim,Antonina Shevchenko,Women's Flyweight Bout,,,tuf-28-finale-2018,https://www.ufc.com/event/tuf-28-finale-2018,DEC,tuf-28-finale-2018,Dos Anjos vs Usman,tuf 28 finale 2018 Dos Anjos vs Usman
Ricky Glenn,Kevin Aguilar,Featherweight Bout,,,tuf-28-finale-2018,https://www.ufc.com/event/tuf-28-finale-2018,DEC,tuf-28-finale-2018,Dos Anjos vs Usman,tuf 28 finale 2018 Dos Anjos vs Usman
Joseph Benavidez,Alex Perez,Flyweight Bout,,,tuf-28-finale-2018,https://www.ufc.com/event/tuf-28-finale-2018,KO/TKO,tuf-28-finale-2018,Dos Anjos vs Usman,tuf 28 finale 2018 Dos Anjos vs Usman
Maurice Greene,Michel Batista, ,,,tuf-28-finale-2018,https://www.ufc.com/event/tuf-28-finale-2018,SUB,tuf-28-finale-2018,Dos Anjos vs Usman,tuf 28 finale 2018 Dos Anjos vs Usman
Julija Stoliarenko,Leah Letson, ,,,tuf-28-finale-2018,https://www.ufc.com/event/tuf-28-finale-2018,DEC,tuf-28-finale-2018,Dos Anjos vs Usman,tuf 28 finale 2018 Dos Anjos vs Usman
Roosevelt Roberts,Darrell Horcher,Lightweight Bout,,,tuf-28-finale-2018,https://www.ufc.com/event/tuf-28-finale-2018,SUB,tuf-28-finale-2018,Dos Anjos vs Usman,tuf 28 finale 2018 Dos Anjos vs Usman
Tim Means,Ricky Rainey,Welterweight Bout,,,tuf-28-finale-2018,https://www.ufc.com/event/tuf-28-finale-2018,KO/TKO,tuf-28-finale-2018,Dos Anjos vs Usman,tuf 28 finale 2018 Dos Anjos vs Usman
Raoni Barcelos,Chris Gutierrez,Bantamweight Bout,,,tuf-28-finale-2018,https://www.ufc.com/event/tuf-28-finale-2018,SUB,tuf-28-finale-2018,Dos Anjos vs Usman,tuf 28 finale 2018 Dos Anjos vs Usman
Jake Ellenberger,Martin Kampmann,Welterweight Bout,,,TUF-Live-1-Finale,https://www.ufc.com/event/TUF-Live-1-Finale,KO/TKO,TUF-Live-1-Finale,Ellenberger vs Kampmann,TUF Live 1 Finale Ellenberger vs Kampmann
Michael Chiesa,Al Iaquinta,Lightweight Bout,,,TUF-Live-1-Finale,https://www.ufc.com/event/TUF-Live-1-Finale,Submission,TUF-Live-1-Finale,Ellenberger vs Kampmann,TUF Live 1 Finale Ellenberger vs Kampmann
Max Holloway,Pat Schilling,Featherweight Bout,,,TUF-Live-1-Finale,https://www.ufc.com/event/TUF-Live-1-Finale,Decision - Unanimous,TUF-Live-1-Finale,Ellenberger vs Kampmann,TUF Live 1 Finale Ellenberger vs Kampmann
Justin Lawrence,John Cofer,Lightweight Bout,,,TUF-Live-1-Finale,https://www.ufc.com/event/TUF-Live-1-Finale,KO/TKO,TUF-Live-1-Finale,Ellenberger vs Kampmann,TUF Live 1 Finale Ellenberger vs Kampmann
Cristiano Marcello,Sam Sicilia,Lightweight Bout,,,TUF-Live-1-Finale,https://www.ufc.com/event/TUF-Live-1-Finale,KO/TKO,TUF-Live-1-Finale,Ellenberger vs Kampmann,TUF Live 1 Finale Ellenberger vs Kampmann
Joe Proctor,Jeremy Larsen,Lightweight Bout,,,TUF-Live-1-Finale,https://www.ufc.com/event/TUF-Live-1-Finale,KO/TKO,TUF-Live-1-Finale,Ellenberger vs Kampmann,TUF Live 1 Finale Ellenberger vs Kampmann
John Albert,Erik Perez,Bantamweight Bout,,,TUF-Live-1-Finale,https://www.ufc.com/event/TUF-Live-1-Finale,Submission,TUF-Live-1-Finale,Ellenberger vs Kampmann,TUF Live 1 Finale Ellenberger vs Kampmann
Stephan Bonnar,Igor Pokrajac,Light Heavyweight Bout,,,TUF12-Finale,https://www.ufc.com/event/TUF12-Finale,Decision - Unanimous,TUF12-Finale,Team GSP vs Team Koscheck Finale,TUF12 Finale Team GSP vs Team Koscheck Finale
Kendall Grove,Demian Maia,Middleweight Bout,,,TUF12-Finale,https://www.ufc.com/event/TUF12-Finale,Decision - Unanimous,TUF12-Finale,Team GSP vs Team Koscheck Finale,TUF12 Finale Team GSP vs Team Koscheck Finale
Nam Phan,Leonard Garcia,Featherweight Bout,,,TUF12-Finale,https://www.ufc.com/event/TUF12-Finale,Decision - Split,TUF12-Finale,Team GSP vs Team Koscheck Finale,TUF12 Finale Team GSP vs Team Koscheck Finale
Cody McKenzie,Aaron Wilkinson,Lightweight Bout,,,TUF12-Finale,https://www.ufc.com/event/TUF12-Finale,Submission,TUF12-Finale,Team GSP vs Team Koscheck Finale,TUF12 Finale Team GSP vs Team Koscheck Finale
Ian Loveland,Tyler Toner,Featherweight Bout,,,TUF12-Finale,https://www.ufc.com/event/TUF12-Finale,Decision - Unanimous,TUF12-Finale,Team GSP vs Team Koscheck Finale,TUF12 Finale Team GSP vs Team Koscheck Finale
Sako Chivitchian,Kyle Watson,Lightweight Bout,,,TUF12-Finale,https://www.ufc.com/event/TUF12-Finale,Decision - Unanimous,TUF12-Finale,Team GSP vs Team Koscheck Finale,TUF12 Finale Team GSP vs Team Koscheck Finale
