,Unnamed: 0,W/L,Weight class,Method,Round,Time,Fighter1,Fighter2,F1_Kd,F2_Kd,F1_Str,F2_Str,F1_Td,F2_Td,F1_Sub,F2_Sub,fight_num,event_id
0,0,win,Heavyweight,KO/TKO  Punches,3,4:23,Ciryl Gane,Tai Tuivasa,1,1,110,29,0,0,0,0,1,00a905a4a4a2b071
1,1,win,Middleweight,U-DEC,3,5:00,Robert Whittaker,Marvin Vettori,0,0,74,33,1,0,0,0,2,00a905a4a4a2b071
2,2,win,Middleweight,U-DEC,3,5:00,Nassourdine Imavov,Joaquin Buckley,0,0,51,46,2,0,2,0,3,00a905a4a4a2b071
3,3,win,Middleweight,KO/TKO  Punches,3,1:09,Roman Kopylov,Alessio Di Chirico,1,0,59,39,0,0,0,0,4,00a905a4a4a2b071
4,4,win,Featherweight,U-DEC,3,5:00,William Gomis,Jarno Errens,0,0,32,20,3,0,0,1,5,00a905a4a4a2b071
5,5,win,Featherweight,U-DEC,3,5:00,Nathaniel Wood,Charles Jourdain,0,0,97,86,5,1,0,0,6,00a905a4a4a2b071
6,6,win,Middleweight,KO/TKO  Punches,1,0:19,Abus Magomedov,Dustin Stoltzfus,1,0,7,0,0,0,0,0,7,00a905a4a4a2b071
7,7,win,Lightweight,U-DEC,3,5:00,Nasrat Haqparast,John Makdessi,1,0,64,73,2,0,0,0,8,00a905a4a4a2b071
8,8,win,Lightweight,U-DEC,3,5:00,Fares Ziam,Michal Figlak,0,0,60,28,3,1,0,0,9,00a905a4a4a2b071
9,9,win,Lightweight,KO/TKO  Punch,2,0:16,Benoit Saint Denis,Gabriel Miranda,3,0,42,20,1,1,0,0,10,00a905a4a4a2b071
10,10,win,Bantamweight,KO/TKO  Punches,1,3:15,Cristian Quinonez,Khalid Taha,0,0,19,6,0,0,0,0,11,00a905a4a4a2b071
11,11,win,Women's Featherweight,SUB  Rear Naked Choke,2,4:54,Stephanie Egger,Ailin Perez,0,0,15,16,2,1,1,0,12,00a905a4a4a2b071
0,0,win,Heavyweight,U-DEC,5,5:00,Stipe Miocic,Francis Ngannou,0,0,70,21,6,0,0,1,1,02177caefe7c07d4
1,1,win,Light Heavyweight,KO/TKO  Punches,2,2:00,Daniel Cormier,Volkan Oezdemir,0,0,32,38,2,0,1,0,2,02177caefe7c07d4
2,2,win,Featherweight,KO/TKO  Punch,3,0:32,Calvin Kattar,Shane Burgos,1,0,85,89,0,0,0,0,3,02177caefe7c07d4
3,3,win,Light Heavyweight,S-DEC,3,5:00,Gian Villante,Francimar Barroso,0,0,74,74,0,0,0,0,4,02177caefe7c07d4
4,4,win,Bantamweight,KO/TKO  Kick,2,2:24,Rob Font,Thomas Almeida,2,0,41,24,1,0,0,0,5,02177caefe7c07d4
5,5,win,Featherweight,U-DEC,3,5:00,Kyle Bochniak,Brandon Davis,0,0,33,38,3,1,0,0,6,02177caefe7c07d4
6,6,win,Welterweight,KO/TKO  Punch,1,3:47,Abdul Razak Alhassan,Sabah Homasi,1,0,13,8,0,1,0,0,7,02177caefe7c07d4
7,7,win,Flyweight,U-DEC,3,5:00,Dustin Ortiz,Alexandre Pantoja,0,0,36,19,7,1,0,2,8,02177caefe7c07d4
8,8,win,Featherweight,U-DEC,3,5:00,Julio Arce,Dan Ige,0,0,72,35,0,1,0,0,9,02177caefe7c07d4
9,9,win,Featherweight,U-DEC,3,5:00,Enrique Barzola,Matt Bessette,0,0,55,43,5,0,0,0,10,02177caefe7c07d4
10,10,win,Lightweight,KO/TKO  Punch,1,0:57,Islam Makhachev,Gleison Tibau,1,0,3,2,0,0,0,0,11,02177caefe7c07d4
0,0,win,Heavyweight,KO/TKO  Punches,2,4:35,Josh Barnett,Randy Couture,0,0,44,18,0,1,1,0,1,02fc8f50f56eb307
1,1,win,Heavyweight,KO/TKO  Punch,3,1:45,Pedro Rizzo,Andrei Arlovski,1,0,27,38,0,0,0,0,2,02fc8f50f56eb307
2,2,win,Welterweight,KO/TKO  Punches,4,3:01,Matt Hughes,Hayato Sakurai,0,1,36,5,9,0,0,0,3,02fc8f50f56eb307
3,3,win,Middleweight,KO/TKO  Punches,1,3:09,Matt Lindland,Pat Miletich,0,0,20,1,1,0,0,0,4,02fc8f50f56eb307
4,4,win,Light Heavyweight,KO/TKO,1,2:06,Evan Tanner,Elvis Sinosic,0,0,7,4,0,0,0,0,5,02fc8f50f56eb307
5,5,win,Heavyweight,SUB  Other - Lock,1,0:46,Frank Mir,Pete Williams,0,0,4,0,0,1,1,0,6,02fc8f50f56eb307
6,6,win,Lightweight,SUB  Triangle Choke,1,2:58,Matt Serra,Kelly Dullanty,0,0,2,0,1,0,3,0,7,02fc8f50f56eb307
7,7,win,Welterweight,U-DEC,3,5:00,Sean Sherk,Jutaro Nakao,0,0,21,4,7,0,0,0,8,02fc8f50f56eb307
0,0,win,Middleweight,KO/TKO  Kick,1,2:32,Vitor Belfort,Luke Rockhold,1,0,9,6,0,0,0,0,1,030f08370fd1c2bb
1,1,win,Middleweight,SUB  Arm Triangle,1,3:37,Jacare Souza,Chris Camozzi,0,0,8,4,1,0,1,0,2,030f08370fd1c2bb
2,2,win,Lightweight,U-DEC,3,5:00,Rafael Dos Anjos,Evan Dunham,0,0,66,68,0,3,0,0,3,030f08370fd1c2bb
3,3,win,Middleweight,U-DEC,3,5:00,Rafael Natal,Joao Zeferino,0,0,29,14,1,0,0,2,4,030f08370fd1c2bb
4,4,win,Featherweight,U-DEC,3,5:00,Nik Lentz,Hacran Dias,1,0,42,40,4,1,0,1,5,030f08370fd1c2bb
5,5,win,Lightweight,SUB  Arm Triangle,1,3:08,Francisco Trinaldo,Mike Rio,0,0,5,5,1,1,1,0,6,030f08370fd1c2bb
6,6,win,Lightweight,SUB  Guillotine Choke,2,2:34,Gleison Tibau,John Cholish,0,0,21,9,2,0,1,0,7,030f08370fd1c2bb
7,7,win,Welterweight,U-DEC,3,5:00,Paulo Thiago,Michel Prazeres,0,0,46,30,2,3,0,0,8,030f08370fd1c2bb
8,8,win,Bantamweight,KO/TKO  Punch,1,2:31,Iuri Alcantara,Iliarde Santos,0,0,19,3,0,0,0,0,9,030f08370fd1c2bb
9,9,win,Light Heavyweight,U-DEC,3,5:00,Fabio Maldonado,Roger Hollett,0,0,100,29,1,2,0,0,10,030f08370fd1c2bb
10,10,win,Flyweight,KO/TKO  Punch,2,1:07,John Lineker,Azamat Gashimov,3,0,36,7,0,0,0,0,11,030f08370fd1c2bb
11,11,win,Flyweight,U-DEC,3,5:00,Jussier Formiga,Chris Cariaso,0,0,10,26,4,1,0,1,12,030f08370fd1c2bb
12,12,win,Lightweight,KO/TKO  Punch,3,0:13,Lucas Martins,Jeremy Larsen,1,1,39,52,0,2,0,0,13,030f08370fd1c2bb
0,0,win,Welterweight,KO/TKO  Punch,3,1:28,Rory MacDonald,Tarec Saffiedine,1,0,47,42,1,0,0,0,1,0313bf497de9c470
1,1,win,Bantamweight,U-DEC,3,5:00,Raphael Assuncao,Bryan Caraway,0,0,75,39,2,2,0,0,2,0313bf497de9c470
2,2,win,Lightweight,U-DEC,3,5:00,Chad Laprise,Yosdenis Cedeno,0,0,35,17,4,0,0,0,3,0313bf497de9c470
3,3,win,Middleweight,U-DEC,3,5:00,Elias Theodorou,Bruno Santos,0,0,43,16,3,4,0,0,4,0313bf497de9c470
4,4,win,Welterweight,S-DEC,3,5:00,Nordine Taleb,Li Jingliang,0,0,66,43,2,2,0,0,5,0313bf497de9c470
5,5,win,Bantamweight,SUB  Rear Naked Choke,1,2:06,Mitch Gagnon,Roman Salazar,0,0,5,3,1,0,1,0,6,0313bf497de9c470
6,6,win,Lightweight,U-DEC,3,5:00,Daron Cruickshank,Anthony Njokuani,0,0,42,40,6,0,0,0,7,0313bf497de9c470
7,7,win,Lightweight,SUB  Inverted Triangle,2,3:22,Olivier Aubin-Mercier,Jake Lindsey,0,0,31,24,2,1,1,0,8,0313bf497de9c470
8,8,win,Lightweight,S-DEC,3,5:00,Paul Felder,Jason Saggo,0,1,51,29,1,6,0,0,9,0313bf497de9c470
9,9,win,Flyweight,U-DEC,3,5:00,Chris Kelades,Paddy Holohan,0,0,50,26,2,3,1,0,10,0313bf497de9c470
10,10,win,Welterweight,KO/TKO  Kick,1,1:03,Albert Tumenov,Matt Dwyer,2,0,4,0,0,0,0,0,11,0313bf497de9c470
11,11,nc  nc,Bantamweight,Overturned  Guillotine Choke,1,0:39,Pedro Munhoz,Jerrod Sanders,0,0,2,1,0,0,1,0,12,0313bf497de9c470
