,Unnamed: 0,W/L,Weight class,Method,Round,Time,Fighter1,Fighter2,F1_Kd,F2_Kd,F1_Str,F2_Str,F1_Td,F2_Td,F1_Sub,F2_Sub,fight_num,event_id
0,0,win,Heavyweight,KO/TKO  Punch,1,2:43,Tim Sylvia,Andrei Arlovski,1,1,13,11,0,0,0,0,1,03688dc3c3af3ac1
1,1,win,Welterweight,U-DEC,3,5:00,Sean Sherk,Nick Diaz,0,0,39,57,2,1,0,3,2,03688dc3c3af3ac1
2,2,win,Light Heavyweight,S-DEC,3,5:00,Tito Ortiz,Forrest Griffin,0,0,61,58,3,0,0,0,3,03688dc3c3af3ac1
3,3,win,Middleweight,SUB  Triangle Choke,1,3:14,Evan Tanner,Justin Levens,0,0,10,2,1,0,2,1,4,03688dc3c3af3ac1
4,4,win,Heavyweight,S-DEC,3,5:00,Jeff Monson,Marcio Cruz,0,0,32,40,2,0,0,0,5,03688dc3c3af3ac1
5,5,win,Welterweight,KO/TKO  Punches,1,4:44,Karo Parisyan,Nick Thompson,0,0,18,2,2,1,0,0,6,03688dc3c3af3ac1
6,6,win,Middleweight,SUB  Rear Naked Choke,1,3:08,David Terrell,Scott Smith,0,0,10,3,1,0,2,0,7,03688dc3c3af3ac1
7,7,win,Light Heavyweight,KO/TKO  Punches,2,2:37,Jason Lambert,Terry Martin,0,0,31,15,0,1,0,0,8,03688dc3c3af3ac1
8,8,win,Welterweight,KO/TKO  Punches,1,2:54,Thiago Alves,Derrick Noble,1,0,11,18,0,0,0,0,9,03688dc3c3af3ac1
0,0,win,Bantamweight,KO/TKO  Punches,1,4:10,TJ Dillashaw,Cody Garbrandt,2,0,45,17,0,0,0,0,1,03b1e846b09f721d
1,1,win,Flyweight,S-DEC,5,5:00,Henry Cejudo,Demetrious Johnson,0,0,51,81,3,1,0,0,2,03b1e846b09f721d
2,2,win,Featherweight,SUB  Rear Naked Choke,1,4:15,Renato Moicano,Cub Swanson,1,0,17,20,1,0,1,0,3,03b1e846b09f721d
3,3,win,Women's Strawweight,U-DEC,3,5:00,JJ Aldrich,Polyana Viana,0,0,40,46,0,1,0,0,4,03b1e846b09f721d
4,4,win,Middleweight,U-DEC,3,5:00,Thiago Santos,Kevin Holland,0,0,69,31,3,0,1,1,5,03b1e846b09f721d
5,5,win,Bantamweight,U-DEC,3,5:00,Pedro Munhoz,Brett Johns,3,0,117,73,0,0,1,0,6,03b1e846b09f721d
6,6,win,Bantamweight,U-DEC,3,5:00,Ricky Simon,Montel Jackson,0,0,25,42,7,2,0,0,7,03b1e846b09f721d
7,7,win,Bantamweight,S-DEC,3,5:00,Ricardo Ramos,Kyung Ho Kang,0,0,54,65,1,1,1,0,8,03b1e846b09f721d
8,8,win,Featherweight,U-DEC,3,5:00,Sheymon Moraes,Matt Sayles,0,0,73,77,0,0,0,0,9,03b1e846b09f721d
9,9,win,Flyweight,KO/TKO  Punches,1,3:46,Alex Perez,Jose Torres,1,0,84,29,0,0,0,0,10,03b1e846b09f721d
10,10,win,Women's Strawweight,U-DEC,3,5:00,Zhang Weili,Danielle Taylor,0,0,77,34,1,0,0,1,11,03b1e846b09f721d
11,11,win,Bantamweight,KO/TKO  Punch,2,4:53,Marlon Vera,Wulijiburen,1,0,45,31,1,2,0,0,12,03b1e846b09f721d
0,0,win,Welterweight,U-DEC,5,5:00,Colby Covington,Robbie Lawler,0,0,179,78,10,0,0,0,1,03da33a102d9a45f
1,1,win,Lightweight,SUB  Guillotine Choke,1,0:58,Jim Miller,Clay Guida,0,0,2,2,0,0,1,0,2,03da33a102d9a45f
2,2,win,Lightweight,KO/TKO  Punch,2,0:36,Nasrat Haqparast,Joaquim Silva,1,0,21,15,0,0,0,0,3,03da33a102d9a45f
3,3,win,Middleweight,SUB  Guillotine Choke,3,1:49,Gerald Meerschaert,Trevin Giles,0,0,6,8,1,1,1,0,4,03da33a102d9a45f
4,4,win,Lightweight,KO/TKO,2,5:00,Scott Holtzman,Dong Hyun Ma,1,0,44,16,1,1,0,0,5,03da33a102d9a45f
5,5,win,Light Heavyweight,U-DEC,3,5:00,Kennedy Nzechukwu,Darko Stosic,0,0,50,60,0,4,0,0,6,03da33a102d9a45f
6,6,win,Welterweight,U-DEC,3,5:00,Mickey Gall,Salim Touahri,0,0,50,48,1,0,0,0,7,03da33a102d9a45f
7,7,win,Women's Flyweight,SUB  Rear Naked Choke,2,1:20,Antonina Shevchenko,Lucie Pudilova,0,0,16,6,0,1,3,0,8,03da33a102d9a45f
8,8,win,Flyweight,SUB  Triangle Choke,1,1:23,Matt Schnell,Jordan Espinosa,0,0,3,5,0,0,1,0,9,03da33a102d9a45f
9,9,win,Women's Flyweight,KO/TKO  Knee,3,1:46,Lauren Murphy,Mara Romero Borella,1,0,24,22,0,1,0,0,10,03da33a102d9a45f
10,10,win,Welterweight,SUB  Neck Crank,1,2:35,Claudio Silva,Cole Williams,0,0,32,2,1,0,1,0,11,03da33a102d9a45f
11,11,win,Women's Flyweight,U-DEC,3,5:00,Miranda Granger,Hannah Goldy,0,0,61,55,0,0,0,0,12,03da33a102d9a45f
0,0,win,Women's Featherweight,U-DEC,5,5:00,Cristiane Justino,Holly Holm,0,0,118,44,0,0,0,0,1,04076783ca83d6ae
1,1,win,Lightweight,U-DEC,3,5:00,Khabib Nurmagomedov,Edson Barboza,0,0,89,25,4,0,0,0,2,04076783ca83d6ae
2,2,win,Lightweight,SUB  Guillotine Choke,3,0:42,Dan Hooker,Marc Diakiese,0,0,17,24,2,0,1,0,3,04076783ca83d6ae
3,3,win,Women's Strawweight,U-DEC,3,5:00,Carla Esparza,Cynthia Calvillo,0,0,48,38,2,1,1,0,4,04076783ca83d6ae
4,4,win,Welterweight,U-DEC,3,5:00,Neil Magny,Carlos Condit,0,0,32,37,6,0,0,0,5,04076783ca83d6ae
5,5,nc  nc,Light Heavyweight,Overturned,3,5:00,Khalil Rountree Jr.,Michal Oleksiejczuk,0,0,52,76,0,2,1,0,6,04076783ca83d6ae
6,6,win,Featherweight,U-DEC,3,5:00,Myles Jury,Ricky Glenn,0,0,41,14,2,0,0,0,7,04076783ca83d6ae
7,7,draw  draw,Middleweight,M-DEC,3,5:00,Marvin Vettori,Omari Akhmedov,0,0,66,51,0,0,2,0,8,04076783ca83d6ae
8,8,win,Flyweight,U-DEC,3,5:00,Matheus Nicolau,Louis Smolka,3,0,87,49,3,0,2,0,9,04076783ca83d6ae
9,9,win,Bantamweight,SUB  Anaconda Choke,2,1:41,Tim Elliott,Mark De La Rosa,0,0,12,2,1,0,2,0,10,04076783ca83d6ae
0,0,win,Welterweight,S-DEC,3,5:00,Martin Kampmann,Carlos Condit,0,0,26,35,5,3,6,3,1,04d5718ed2661e8c
1,1,win,Light Heavyweight,U-DEC,3,5:00,Ryan Bader,Carmelo Marrero,0,0,24,9,5,0,2,0,2,04d5718ed2661e8c
2,2,win,Lightweight,U-DEC,3,5:00,Tyson Griffin,Rafael Dos Anjos,0,0,69,26,1,0,0,3,3,04d5718ed2661e8c
3,3,win,Lightweight,SUB  Guillotine Choke,1,1:58,Cole Miller,Junie Browning,0,0,3,1,0,0,1,0,4,04d5718ed2661e8c
4,4,win,Lightweight,U-DEC,3,5:00,Gleison Tibau,Jeremy Stephens,0,0,7,23,5,0,3,0,5,04d5718ed2661e8c
5,5,win,Middleweight,U-DEC,3,5:00,Ricardo Almeida,Matt Horwich,0,0,41,25,9,0,1,3,6,04d5718ed2661e8c
6,6,win,Welterweight,SUB  Rear Naked Choke,1,2:01,Brock Larson,Jesse Sanders,0,0,13,0,1,0,1,0,7,04d5718ed2661e8c
7,7,win,Middleweight,SUB  Guillotine Choke,2,3:45,Tim Credeur,Nick Catone,0,0,9,19,0,3,7,0,8,04d5718ed2661e8c
8,8,win,Middleweight,S-DEC,3,5:00,Jorge Rivera,Nissen Osterneck,1,0,29,35,4,1,0,1,9,04d5718ed2661e8c
9,9,win,Middleweight,SUB  Guillotine Choke,1,1:54,Rob Kimmons,Joe Vedepo,0,0,7,4,0,1,2,0,10,04d5718ed2661e8c
10,10,win,Middleweight,KO/TKO  Punches,1,1:40,Aaron Simpson,Tim McKenzie,1,0,16,1,1,0,0,0,11,04d5718ed2661e8c
0,0,win,Lightweight,U-DEC,5,5:00,Frankie Edgar,BJ Penn,0,0,94,36,3,2,0,0,1,054defd5420a551f
1,1,win,Heavyweight,SUB  Arm Triangle,1,3:19,Randy Couture,James Toney,0,0,8,0,1,0,2,0,2,054defd5420a551f
2,2,win,Middleweight,U-DEC,3,5:00,Demian Maia,Mario Miranda,0,0,30,14,5,0,1,0,3,054defd5420a551f
3,3,win,Lightweight,U-DEC,3,5:00,Gray Maynard,Kenny Florian,0,0,15,14,5,0,0,0,4,054defd5420a551f
4,4,win,Welterweight,SUB  Guillotine Choke,3,4:02,Nate Diaz,Marcus Davis,0,1,94,52,1,1,1,0,5,054defd5420a551f
5,5,win,Lightweight,SUB  Armbar,1,2:01,Joe Lauzon,Gabe Ruediger,0,0,19,1,2,0,1,0,6,054defd5420a551f
6,6,win,Lightweight,U-DEC,3,5:00,Nik Lentz,Andre Winner,0,0,23,20,7,0,1,0,7,054defd5420a551f
7,7,win,Middleweight,SUB  Guillotine Choke,2,1:53,Dan Miller,John Salter,0,0,23,21,0,2,2,0,8,054defd5420a551f
8,8,win,Welterweight,U-DEC,3,5:00,Greg Soto,Nick Osipczak,0,0,70,29,3,0,1,1,9,054defd5420a551f
9,9,win,Welterweight,SUB  Armbar,3,3:11,Mike Pierce,Amilcar Alves,0,0,31,4,4,0,2,0,10,054defd5420a551f
0,0,win,Heavyweight,KO/TKO  Punch,1,1:40,Frank Mir,Antonio Silva,1,0,10,1,0,0,0,0,1,0577808d22dfe79c
1,1,win,Lightweight,U-DEC,3,5:00,Michael Johnson,Edson Barboza,0,0,38,31,1,0,0,0,2,0577808d22dfe79c
2,2,win,Middleweight,KO/TKO  Punches,1,3:34,Sam Alvey,Cezar Ferreira,1,0,4,13,0,0,0,0,3,0577808d22dfe79c
3,3,win,Lightweight,S-DEC,3,5:00,Adriano Martins,Rustam Khabilov,0,0,12,18,3,0,0,0,4,0577808d22dfe79c
4,4,win,Bantamweight,U-DEC,3,5:00,Frankie Saenz,Iuri Alcantara,0,0,44,31,3,2,0,0,5,0577808d22dfe79c
5,5,win,Welterweight,U-DEC,3,5:00,Santiago Ponzinibbio,Sean Strickland,0,0,50,44,1,2,0,0,6,0577808d22dfe79c
6,6,win,Women's Bantamweight,SUB  Triangle Choke,1,1:54,Marion Reneau,Jessica Andrade,0,1,6,6,0,0,1,0,7,0577808d22dfe79c
7,7,win,Welterweight,KO/TKO  Punch,1,3:14,Matt Dwyer,William Macario,1,0,13,8,0,0,0,0,8,0577808d22dfe79c
8,8,win,Featherweight,KO/TKO  Punch,1,2:59,Mike de la Torre,Tiago dos Santos e Silva,1,0,16,7,0,0,0,0,9,0577808d22dfe79c
9,9,win,Bantamweight,U-DEC,3,5:00,Douglas Silva de Andrade,Cody Gibson,1,0,39,30,0,0,0,0,10,0577808d22dfe79c
10,10,win,Lightweight,U-DEC,3,5:00,Ivan Jorge,Josh Shockley,0,0,25,22,3,0,1,0,11,0577808d22dfe79c
0,0,win,Welterweight,U-DEC,5,5:00,Robbie Lawler,Matt Brown,0,0,80,82,2,2,0,0,1,05fbfe628658c538
1,1,win,Light Heavyweight,KO/TKO  Punch,1,0:44,Anthony Johnson,Rogerio Nogueira,1,0,8,0,0,0,0,0,2,05fbfe628658c538
2,2,win,Featherweight,SUB  Rear Naked Choke,2,2:57,Dennis Bermudez,Clay Guida,0,0,47,28,2,0,1,0,3,05fbfe628658c538
3,3,win,Lightweight,S-DEC,3,5:00,Bobby Green,Josh Thomson,0,0,59,45,0,0,0,0,4,05fbfe628658c538
4,4,win,Lightweight,U-DEC,3,5:00,Jorge Masvidal,Daron Cruickshank,0,1,51,19,2,2,2,1,5,05fbfe628658c538
5,5,win,Light Heavyweight,U-DEC,3,5:00,Patrick Cummins,Kyle Kingsbury,0,0,73,22,10,0,0,0,6,05fbfe628658c538
6,6,win,Welterweight,U-DEC,3,5:00,Tim Means,Hernani Perpetuo,0,0,85,61,1,0,0,0,7,05fbfe628658c538
7,7,nc  nc,Featherweight,Overturned,1,1:39,Mike de la Torre,Brian Ortega,0,0,6,3,0,1,0,2,8,05fbfe628658c538
8,8,win,Lightweight,U-DEC,3,5:00,Tiago dos Santos e Silva,Akbarh Arreola,0,0,62,30,0,2,0,0,9,05fbfe628658c538
9,9,win,Welterweight,U-DEC,3,5:00,Gilbert Burns,Andreas Stahl,0,0,44,41,2,0,0,0,10,05fbfe628658c538
10,10,win,Women's Strawweight,U-DEC,3,5:00,Joanna Jedrzejczyk,Juliana Lima,0,0,46,18,0,1,0,0,11,05fbfe628658c538
11,11,win,Featherweight,U-DEC,3,5:00,Noad Lahat,Steven Siler,0,0,26,35,4,0,2,0,12,05fbfe628658c538
0,0,win,Lightweight,KO/TKO  Punch,1,2:31,Rafael Dos Anjos,Benson Henderson,1,0,18,10,0,0,0,0,1,063649e21bc9d6d5
1,1,win,Welterweight,KO/TKO  Punch,1,1:12,Jordan Mein,Mike Pyle,1,0,10,2,0,0,0,0,2,063649e21bc9d6d5
2,2,win,Middleweight,KO/TKO  Punch,2,0:20,Thales Leites,Francis Carmont,1,0,18,18,0,0,0,0,3,063649e21bc9d6d5
3,3,win,Catch Weight,KO/TKO  Punches,3,3:47,Max Holloway,Clay Collard,0,0,124,70,0,1,0,0,4,063649e21bc9d6d5
4,4,win,Lightweight,U-DEC,3,5:00,James Vick,Valmir Lazaro,1,0,77,91,0,4,0,0,5,063649e21bc9d6d5
5,5,win,Featherweight,SUB  Rear Naked Choke,1,2:35,Chas Skelly,Tom Niinimaki,0,0,2,1,1,0,1,1,6,063649e21bc9d6d5
6,6,win,Welterweight,U-DEC,3,5:00,Neil Magny,Alex Garcia,0,0,39,5,3,3,0,0,7,063649e21bc9d6d5
7,7,win,Lightweight,SUB  Arm Triangle,2,3:38,Beneil Dariush,Anthony Rocco Martin,0,0,26,34,2,1,1,0,8,063649e21bc9d6d5
8,8,win,Bantamweight,U-DEC,3,5:00,Matt Hobar,Aaron Phillips,0,0,63,38,6,0,0,0,9,063649e21bc9d6d5
9,9,win,Welterweight,SUB  Omoplata,1,2:18,Ben Saunders,Chris Heatherly,0,0,4,4,0,1,2,0,10,063649e21bc9d6d5
10,10,win,Flyweight,U-DEC,3,5:00,Wilson Reis,Joby Sanchez,0,1,22,20,9,0,1,0,11,063649e21bc9d6d5
0,0,win,Middleweight,KO/TKO  Punch,1,0:28,Dan Henderson,Tim Boetsch,1,0,12,3,0,0,0,0,1,06dc1a58663579d2
1,1,win,Heavyweight,SUB  Guillotine Choke,1,1:54,Ben Rothwell,Matt Mitrione,0,0,5,8,0,0,1,0,2,06dc1a58663579d2
2,2,win,Lightweight,KO/TKO  Punches,1,2:38,Dustin Poirier,Yancy Medeiros,2,0,27,6,1,0,1,0,3,06dc1a58663579d2
3,3,win,Featherweight,KO/TKO  Punch,3,4:10,Brian Ortega,Thiago Tavares,1,0,41,39,0,6,1,0,4,06dc1a58663579d2
4,4,win,Bantamweight,KO/TKO  Punch,1,1:37,Anthony Birchak,Joe Soto,2,0,16,1,0,0,0,0,5,06dc1a58663579d2
5,5,win,Bantamweight,KO/TKO  Punch,1,0:21,Francisco Rivera,Alex Caceres,1,0,5,0,0,0,0,0,6,06dc1a58663579d2
6,6,win,Heavyweight,KO/TKO  Kick,2,0:48,Shawn Jordan,Derrick Lewis,1,0,23,6,3,0,0,0,7,06dc1a58663579d2
7,7,win,Welterweight,KO/TKO,1,5:00,Omari Akhmedov,Brian Ebersole,0,0,15,2,0,0,0,0,8,06dc1a58663579d2
8,8,win,Lightweight,U-DEC,3,5:00,Chris Wade,Christos Giagos,0,0,32,28,4,0,0,0,9,06dc1a58663579d2
9,9,win,Lightweight,SUB  Guillotine Choke,3,4:58,Joe Proctor,Justin Edwards,0,0,67,63,0,2,3,0,10,06dc1a58663579d2
10,10,win,Middleweight,S-DEC,3,5:00,Jake Collier,Ricardo Abreu,0,0,67,47,0,3,0,0,11,06dc1a58663579d2
11,11,win,Bantamweight,SUB  Rear Naked Choke,1,2:34,Jose Quinonez,Leonardo Morales,0,0,2,3,1,0,2,0,12,06dc1a58663579d2
0,0,win,Featherweight,KO/TKO  Punch,1,4:05,Conor McGregor,Diego Brandao,1,0,18,9,1,0,0,1,1,073eee4e62f0d988
1,1,win,Welterweight,SUB  Rear Naked Choke,2,4:48,Gunnar Nelson,Zak Cummings,0,0,13,18,1,0,1,0,2,073eee4e62f0d988
2,2,win,Flyweight,U-DEC,3,5:00,Ian McCall,Brad Pickett,0,0,56,22,3,0,0,0,3,073eee4e62f0d988
3,3,win,Lightweight,KO/TKO  Punches,2,3:41,Norman Parke,Naoyuki Kotani,0,0,34,8,2,0,0,0,4,073eee4e62f0d988
4,4,win,Light Heavyweight,KO/TKO  Punch,1,2:07,Ilir Latifi,Chris Dempsey,0,0,16,1,1,0,0,0,5,073eee4e62f0d988
5,5,win,Flyweight,U-DEC,3,5:00,Neil Seery,Phil Harris,1,0,60,40,2,2,0,0,6,073eee4e62f0d988
6,6,win,Middleweight,SUB  Rear Naked Choke,2,3:33,Cathal Pendred,Mike King,0,1,11,38,3,1,1,2,7,073eee4e62f0d988
7,7,win,Middleweight,U-DEC,3,5:00,Trevor Smith,Tor Troeng,0,0,42,26,2,1,2,0,8,073eee4e62f0d988
8,8,win,Light Heavyweight,KO/TKO  Punches,1,4:57,Nikita Krylov,Cody Donovan,0,1,42,21,0,1,0,2,9,073eee4e62f0d988
9,9,win,Flyweight,SUB  Rear Naked Choke,1,3:06,Paddy Holohan,Josh Sampo,1,0,10,3,0,0,1,1,10,073eee4e62f0d988
0,0,win,Heavyweight,SUB  Other,1,8:08,Maurice Smith,David Abbott,0,1,12,5,0,0,1,0,1,07a18ae55dfc3cd9
1,1,win,Heavyweight,SUB  Rear Naked Choke,1,0:53,Mark Kerr,Dwayne Cason,0,0,5,0,1,0,1,0,2,07a18ae55dfc3cd9
2,2,win,Heavyweight,KO/TKO  Punches,1,8:16,Randy Couture,Vitor Belfort,0,0,34,6,1,0,1,0,3,07a18ae55dfc3cd9
3,3,win,Heavyweight,U-DEC,2,3:00,Dave Beneteau,Carlos Barreto,0,0,13,11,3,2,0,0,4,07a18ae55dfc3cd9
4,4,win,Heavyweight,KO/TKO  Knee,1,0:17,Mark Kerr,Greg Stott,1,0,1,0,0,0,0,0,5,07a18ae55dfc3cd9
5,5,win,Heavyweight,KO/TKO  Punches,1,3:43,Dwayne Cason,Houston Dorr,0,0,11,1,1,0,0,0,6,07a18ae55dfc3cd9
6,6,win,Heavyweight,S-DEC,1,12:00,Alex Hunter,Harry Moskowitz,0,0,11,12,1,1,0,4,7,07a18ae55dfc3cd9
0,0,win,Middleweight,SUB  Neck Crank,1,1:52,Tito Ortiz,Yuki Kondo,0,1,16,2,2,0,2,0,1,08ae5cd9aef7ddd3
1,1,win,Welterweight,SUB  Guillotine Choke,2,1:58,Pat Miletich,Kenichi Yamamoto,0,0,16,3,3,0,2,0,2,08ae5cd9aef7ddd3
