,Unnamed: 0,Fighter_A,Fighter_B,A_Kd,B_Kd,A_Sig_strike_land,A_Sig_strike_att,B_Sig_strike_land,B_Sig_strike_att,A_Sig_strike_percent,B_Sig_strike_percent,A_Total_Strikes_land,A_Total_Strikes_att,B_Total_Strikes_land,B_Total_Strikes_att,A_Total_Strikes_percent,B_Total_Strikes_percent,A_Takedowns_land,A_Takedowns_att,B_Takedowns_land,B_Takedowns_att,A_Takedown_percent,B_Takedown_percent,A_Sub_Attempts_land,B_Sub_Attempts_land,A_Rev,B_Rev,A_Ctrl_time_min,A_Ctrl_time_sec,B_Ctrl_time_min,B_Ctrl_time_sec,A_Ctrl_time_tot,B_Ctrl_time_tot,details,event_title,event_url,date,Winner,A_Head_Strikes_land,A_Head_Strikes_att,B_Head_Strikes_land,B_Head_Strikes_att,A_Head_Strikes_percent,B_Head_Strikes_percent,A_Body_Strikes_land,A_Body_Strikes_att,B_Body_Strikes_land,B_Body_Strikes_att,A_Body_Strikes_percent,B_Body_Strikes_percent,A_Leg_Strikes_land,A_Leg_Strikes_att,B_Leg_Strikes_land,B_Leg_Strikes_att,A_Leg_Strikes_percent,B_Leg_Strikes_percent,A_Distance_Strikes_land,A_Distance_Strikes_att,B_Distance_Strikes_land,B_Distance_Strikes_att,A_Distance_Strikes_percent,B_Distance_Strikes_percent,A_Clinch_Strikes_land,A_Clinch_Strikes_att,B_Clinch_Strikes_land,B_Clinch_Strikes_att,A_Clinch_Strikes_percent,B_Clinch_Strikes_percent,A_Ground_Strikes_land,A_Ground_Strikes_att,B_Ground_Strikes_land,B_Ground_Strikes_att,A_Ground_Strikes_percent,B_Ground_Strikes_percent,Fighter_A_Odds_obf,Fighter_B_Odds_obf,favorite?
10,10,Irene Aldana,Macy Chiasson,1,0,37,71,39,94,0.52,0.41,51,85,72,140,0.6,0.5142857142857142,0,0,3,8,0.0,0.375,2,0,0,0,1,0.0,3,28.0,60.0,208.0,Kick to Body From Bottom,UFC 279: Diaz vs. Ferguson,http://www.ufcstats.com/event-details/93bf96be327fcd98,2022-09-10,Irene Aldana,24.0,57.0,26.0,80.0,0.4210526315789473,0.325,5.0,5.0,7.0,8.0,1.0,0.875,8.0,9.0,6.0,6.0,0.8888888888888888,1.0,19.0,51.0,31.0,75.0,0.3725490196078431,0.4133333333333333,3.0,3.0,0.0,0.0,1.0,0.0,15.0,17.0,8.0,19.0,0.8823529411764706,0.4210526315789473,-195.0,145.0,1
11,11,Khamzat Chimaev,Kevin Holland,0,0,0,1,0,0,0.0,0.0,1,2,0,0,0.5,0.0,2,5,0,0,0.4,0.0,2,0,0,0,1,56.0,0,0.0,116.0,0.0,D'Arce Choke On Ground,UFC 279: Diaz vs. Ferguson,http://www.ufcstats.com/event-details/93bf96be327fcd98,2022-09-10,Khamzat Chimaev,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-580.0,400.0,1
12,12,Jake Collier,Chris Barnett,1,0,51,98,54,98,0.52,0.55,57,107,83,132,0.5327102803738317,0.6287878787878788,1,2,0,0,0.5,0.0,1,0,0,0,1,26.0,1,7.0,86.0,67.0,Punches to Head From Mount,UFC 279: Diaz vs. Ferguson,http://www.ufcstats.com/event-details/93bf96be327fcd98,2022-09-10,Chris Barnett,40.0,85.0,48.0,89.0,0.4705882352941176,0.5393258426966292,10.0,12.0,1.0,4.0,0.8333333333333334,0.25,1.0,1.0,5.0,5.0,1.0,1.0,28.0,70.0,25.0,51.0,0.4,0.4901960784313725,13.0,16.0,1.0,5.0,0.8125,0.2,10.0,12.0,28.0,42.0,0.8333333333333334,0.6666666666666666,-565.0,333.0,1
13,13,Jailton Almeida,Anton Turkalj,0,0,17,24,1,1,0.7,1.0,23,31,19,22,0.7419354838709677,0.8636363636363636,3,3,0,0,1.0,0.0,2,0,0,0,4,14.0,0,0.0,254.0,0.0,Rear Naked Choke,UFC 279: Diaz vs. Ferguson,http://www.ufcstats.com/event-details/93bf96be327fcd98,2022-09-10,Jailton Almeida,17.0,22.0,0.0,0.0,0.7727272727272727,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,0.0,0.0,0.8095238095238095,0.0,-770.0,450.0,1
14,14,Ciryl Gane,Tai Tuivasa,1,1,110,168,29,89,0.65,0.32,110,168,29,89,0.6547619047619048,0.3258426966292135,0,1,0,0,0.0,0.0,0,0,0,0,0,1.0,0,4.0,1.0,4.0,Punches to Head At Distance,UFC Fight Night: Gane vs. Tuivasa,http://www.ufcstats.com/event-details/00a905a4a4a2b071,2022-09-03,Ciryl Gane,64.0,110.0,17.0,61.0,0.5818181818181818,0.2786885245901639,30.0,40.0,4.0,9.0,0.75,0.4444444444444444,16.0,18.0,8.0,19.0,0.8888888888888888,0.4210526315789473,108.0,166.0,26.0,84.0,0.6506024096385542,0.3095238095238095,0.0,0.0,1.0,3.0,0.0,0.3333333333333333,2.0,2.0,2.0,2.0,1.0,1.0,-560.0,375.0,1
15,15,Nassourdine Imavov,Joaquin Buckley,0,0,51,109,46,174,0.46,0.26,68,142,55,183,0.4788732394366197,0.3005464480874317,2,7,0,3,0.2857142857142857,0.0,2,0,0,0,3,56.0,0,29.0,236.0,29.0,Ben Cartlidge                                     28 - 29.          Mark Collett                                     28 - 29.          Derek Cleary                                     27 - 30.,UFC Fight Night: Gane vs. Tuivasa,http://www.ufcstats.com/event-details/00a905a4a4a2b071,2022-09-03,Nassourdine Imavov,40.0,90.0,27.0,145.0,0.4444444444444444,0.1862068965517241,9.0,13.0,8.0,13.0,0.6923076923076923,0.6153846153846154,2.0,6.0,11.0,16.0,0.3333333333333333,0.6875,36.0,88.0,44.0,171.0,0.4090909090909091,0.2573099415204678,8.0,10.0,2.0,3.0,0.8,0.6666666666666666,7.0,11.0,0.0,0.0,0.6363636363636364,0.0,-275.0,200.0,1
16,16,Charles Jourdain,Nathaniel Wood,0,0,86,203,97,202,0.42,0.48,115,232,128,234,0.4956896551724138,0.5470085470085471,1,2,5,8,0.5,0.625,0,0,0,0,0,24.0,4,30.0,24.0,270.0,Howard Hughes                                     27 - 30.          Ahmed Korchi                                     27 - 30.          Mark Collett                                     28 - 29.,UFC Fight Night: Gane vs. Tuivasa,http://www.ufcstats.com/event-details/00a905a4a4a2b071,2022-09-03,Nathaniel Wood,56.0,165.0,61.0,157.0,0.3393939393939394,0.3885350318471338,29.0,36.0,14.0,21.0,0.8055555555555556,0.6666666666666666,1.0,2.0,22.0,24.0,0.5,0.9166666666666666,55.0,166.0,78.0,174.0,0.3313253012048193,0.4482758620689655,30.0,36.0,16.0,22.0,0.8333333333333334,0.7272727272727273,1.0,1.0,3.0,6.0,1.0,0.5,-155.0,120.0,1
17,17,Stephanie Egger,Ailin Perez,0,0,15,22,16,34,0.68,0.47,47,64,41,61,0.734375,0.6721311475409836,2,7,1,3,0.2857142857142857,0.3333333333333333,1,0,1,0,6,59.0,1,33.0,419.0,93.0,Rear Naked Choke,UFC Fight Night: Gane vs. Tuivasa,http://www.ufcstats.com/event-details/00a905a4a4a2b071,2022-09-03,Stephanie Egger,9.0,16.0,7.0,20.0,0.5625,0.35,3.0,3.0,9.0,12.0,1.0,0.75,3.0,3.0,0.0,2.0,1.0,0.0,5.0,11.0,8.0,25.0,0.4545454545454545,0.32,3.0,3.0,6.0,6.0,1.0,1.0,7.0,8.0,2.0,3.0,0.875,0.6666666666666666,-295.0,200.0,1
18,18,Robert Whittaker,Marvin Vettori,0,0,74,166,33,116,0.44,0.28,74,166,38,121,0.4457831325301205,0.3140495867768595,1,1,0,1,1.0,0.0,0,0,0,0,0,12.0,0,28.0,12.0,28.0,Mark Collett                                     27 - 30.          Howard Hughes                                     27 - 30.          Clemens Werner                                     28 - 29.,UFC Fight Night: Gane vs. Tuivasa,http://www.ufcstats.com/event-details/00a905a4a4a2b071,2022-09-03,Robert Whittaker,49.0,138.0,15.0,94.0,0.3550724637681159,0.1595744680851064,6.0,9.0,7.0,10.0,0.6666666666666666,0.7,19.0,19.0,11.0,12.0,1.0,0.9166666666666666,72.0,163.0,33.0,116.0,0.4417177914110429,0.2844827586206896,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.6666666666666666,0.0,-230.0,170.0,1
19,19,Khalid Taha,Cristian Quinonez,0,0,6,27,19,47,0.22,0.4,6,27,19,47,0.2222222222222222,0.4042553191489361,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,2.0,0.0,2.0,Punches to Head On Ground,UFC Fight Night: Gane vs. Tuivasa,http://www.ufcstats.com/event-details/00a905a4a4a2b071,2022-09-03,Cristian Quinonez,5.0,25.0,17.0,42.0,0.2,0.4047619047619047,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,6.0,27.0,15.0,42.0,0.2222222222222222,0.3571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.8,-125.0,-110.0,1
